Gene	BLCA Freq	BRCA Freq	GBM Freq	HNSC Freq	KIRC Freq	LAML Freq	LUAD Freq	LUSC Freq	OV Freq	UCEC Freq	Pancan12 Freq
RUNX1	0.01	0.03	0.00	0.01	0.00	0.09	0.00	0.00	0.00	0.01	0.02
NRAS	0.02	0.00	0.00	0.00	0.00	0.08	0.02	0.01	0.01	0.03	0.02
IDH1	0.031	0.00	0.05	0.00	0.01	0.10	0.01	0.01	0.00	0.01	0.02
TBX3	0.031	0.02	0.00	0.01	0.00	0.00	0.04	0.03	0.01	0.01	0.01
MAP2K4	0	0.04	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.01
RPL22	0	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.11	0.01
STK11	0	0.00	0.00	0.00	0.00	0.00	0.09	0.02	0.00	0.00	0.01
CRIPAK	0.02	0.00	0.00	0.01	0.01	0.00	0.05	0.00	0.00	0.00	0.01
CEBPA	0	0.00	0.00	0.00	0.00	0.07	0.00	0.01	0.00	0.00	0.01
KDM6A	0.265	0.01	0.01	0.03	0.01	0.02	0.01	0.04	0.00	0.01	0.02
EPHA3	0.01	0.01	0.01	0.04	0.01	0.01	0.09	0.06	0.01	0.02	0.02
AKT1	0	0.03	0.00	0.01	0.01	0.00	0.00	0.01	0.00	0.01	0.01
STAG2	0.102	0.01	0.04	0.01	0.02	0.03	0.03	0.04	0.01	0.04	0.02
BRAF	0.02	0.00	0.02	0.01	0.00	0.00	0.07	0.05	0.01	0.01	0.02
AR	0.01	0.01	0.00	0.02	0.01	0.00	0.02	0.04	0.00	0.04	0.01
AJUBA	0.02	0.00	0.00	0.06	0.01	0.00	0.01	0.00	0.00	0.00	0.01
EPPK1	0.02	0.00	0.03	0.03	0.01	0.00	0.03	0.04	0.00	0.03	0.01
TSHZ2	0.041	0.01	0.02	0.01	0.01	0.00	0.07	0.04	0.01	0.02	0.02
PIK3CG	0.02	0.00	0.02	0.03	0.01	0.00	0.05	0.08	0.01	0.01	0.02
SOX9	0	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.00	0.00	0.01
ATM	0.112	0.02	0.01	0.03	0.03	0.00	0.08	0.04	0.01	0.07	0.03
CDKN1B	0.02	0.01	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.01	0.01
WT1	0	0.00	0.01	0.00	0.01	0.06	0.04	0.02	0.00	0.00	0.01
HGF	0.01	0.01	0.00	0.03	0.00	0.00	0.11	0.06	0.01	0.01	0.02
KDM5C	0.01	0.01	0.01	0.01	0.07	0.00	0.05	0.03	0.02	0.02	0.02
PRX	0.051	0.01	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.01
ERBB4	0.02	0.01	0.00	0.04	0.01	0.00	0.08	0.05	0.00	0.03	0.02
MTOR	0.02	0.01	0.01	0.01	0.06	0.00	0.08	0.05	0.02	0.05	0.03
TLR4	0.02	0.01	0.00	0.02	0.01	0.01	0.11	0.06	0.01	0.00	0.02
U2AF1	0.01	0.00	0.00	0.01	0.00	0.04	0.03	0.00	0.00	0.01	0.01
ARID5B	0.031	0.00	0.00	0.03	0.01	0.00	0.02	0.02	0.01	0.10	0.02
TET2	0.031	0.00	0.01	0.00	0.02	0.09	0.03	0.02	0.00	0.02	0.02
ATRX	0.082	0.01	0.06	0.04	0.02	0.00	0.06	0.06	0.01	0.03	0.03
MLL4	0.071	0.01	0.02	0.03	0.01	0.00	0.02	0.04	0.00	0.08	0.02
ELF3	0.082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
BRCA1	0.041	0.02	0.01	0.03	0.01	0.00	0.04	0.05	0.04	0.01	0.02
LRRK2	0.051	0.01	0.01	0.05	0.01	0.00	0.07	0.12	0.03	0.04	0.03
POLQ	0.071	0.01	0.01	0.04	0.01	0.00	0.06	0.09	0.01	0.04	0.02
FOXA1	0.041	0.02	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01
IDH2	0	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.01
CHEK2	0.02	0.00	0.02	0.02	0.01	0.00	0.01	0.01	0.00	0.01	0.01
KIT	0.01	0.01	0.01	0.01	0.01	0.04	0.02	0.04	0.02	0.02	0.01
HIST1H1C	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.01
SETD2	0.061	0.01	0.02	0.02	0.12	0.01	0.08	0.03	0.02	0.03	0.04
PDGFRA	0.061	0.00	0.04	0.01	0.01	0.01	0.07	0.04	0.01	0.01	0.02
EP300	0.174	0.01	0.00	0.08	0.01	0.00	0.01	0.05	0.00	0.05	0.03
FGFR2	0.02	0.01	0.00	0.01	0.00	0.00	0.03	0.02	0.00	0.10	0.02
CCND1	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.05	0.01
EPHB6	0.031	0.00	0.01	0.01	0.01	0.00	0.10	0.04	0.00	0.02	0.02
SMAD4	0.02	0.00	0.00	0.02	0.01	0.00	0.03	0.03	0.00	0.00	0.01
FOXA2	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.05	0.01
USP9X	0.031	0.01	0.01	0.04	0.01	0.01	0.05	0.05	0.00	0.07	0.02
BRCA2	0.061	0.02	0.01	0.04	0.02	0.00	0.06	0.06	0.03	0.04	0.03
NFE2L3	0.031	0.01	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.02	0.01
FGFR3	0.082	0.00	0.01	0.02	0.01	0.00	0.00	0.02	0.00	0.00	0.01
ASXL1	0.031	0.00	0.00	0.03	0.01	0.03	0.01	0.05	0.00	0.01	0.01
TGFBR2	0.031	0.00	0.01	0.03	0.00	0.00	0.01	0.02	0.01	0.01	0.01
SOX17	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
CDKN1A	0.122	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01
B4GALT3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
SF3B1	0.041	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.00	0.02	0.01
TAF1	0.02	0.01	0.01	0.02	0.01	0.00	0.04	0.07	0.02	0.09	0.02
PPP2R1A	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.05	0.01	0.09	0.02
CBFB	0.01	0.02	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01
ATR	0.041	0.01	0.01	0.05	0.01	0.00	0.06	0.04	0.01	0.07	0.02
SIN3A	0.01	0.01	0.01	0.01	0.01	0.00	0.02	0.03	0.01	0.05	0.01
VEZF1	0.02	0.01	0.01	0.01	0.00	0.00	0.01	0.02	0.00	0.00	0.01
HIST1H2BD	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.03	0.00
EIF4A2	0.02	0.01	0.00	0.00	0.01	0.00	0.02	0.01	0.01	0.01	0.01
CDK12	0.041	0.01	0.00	0.02	0.01	0.00	0.03	0.01	0.03	0.02	0.02
PHF6	0.031	0.00	0.00	0.00	0.01	0.03	0.01	0.01	0.00	0.01	0.01
SMC1A	0.031	0.01	0.02	0.01	0.01	0.04	0.01	0.01	0.01	0.04	0.02
PTPN11	0	0.00	0.02	0.00	0.00	0.05	0.03	0.02	0.00	0.01	0.01
ACVR1B	0	0.01	0.00	0.01	0.01	0.00	0.02	0.01	0.00	0.02	0.01
MAPK8IP1	0.02	0.00	0.01	0.01	0.01	0.00	0.02	0.01	0.00	0.00	0.01
H3F3C	0	0.00	0.01	0.01	0.00	0.00	0.02	0.01	0.00	0.01	0.00
NSD1	0.061	0.00	0.00	0.11	0.01	0.00	0.03	0.05	0.01	0.06	0.02
TBL1XR1	0.02	0.01	0.00	0.01	0.01	0.00	0.02	0.01	0.00	0.01	0.01
EGR3	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
ACVR2A	0.01	0.01	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.01
MECOM	0.051	0.01	0.01	0.02	0.01	0.00	0.04	0.05	0.01	0.03	0.02
LIFR	0.01	0.01	0.00	0.03	0.01	0.00	0.01	0.02	0.01	0.02	0.01
SMC3	0.01	0.00	0.01	0.02	0.01	0.04	0.03	0.02	0.00	0.00	0.01
NCOR1	0.082	0.04	0.01	0.03	0.01	0.00	0.03	0.04	0.00	0.01	0.02
RPL5	0	0.00	0.03	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.01
SMAD2	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.01
SPOP	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.07	0.01
AXIN2	0.031	0.00	0.00	0.02	0.00	0.00	0.01	0.01	0.00	0.03	0.01
MIR142	0	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
RAD21	0.02	0.01	0.00	0.01	0.00	0.03	0.03	0.01	0.00	0.01	0.01
ERCC2	0.122	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01
CDKN2C	0	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00
EZH2	0.01	0.00	0.01	0.00	0.01	0.02	0.02	0.02	0.00	0.02	0.01
PCBP1	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
