name	description	p-value	q-value	phenotype	genes
ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20220510%WP5036%HOMO SAPIENS	Angiotensin II receptor type 1 pathway	0.00121541554640137	0.00121541554640137	1	PTPN11,TGFBR2,SMAD4
ANOIKIS%GOBP%GO:0043276	anoikis	2.89952038349864e-05	2.89952038349864e-05	1	AKT1,PIK3CA,MTOR,STK11
ANTERIOR/POSTERIOR AXIS SPECIFICATION%GOBP%GO:0009948	anterior/posterior axis specification	0.00124795424614133	0.00124795424614133	1	TBX3,FOXA2,WT1
ANTERIOR/POSTERIOR PATTERN SPECIFICATION%GOBP%GO:0009952	anterior/posterior pattern specification	0.0053987523696061	0.0053987523696061	1	SMAD2,TBX3,FOXA2,WT1
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	aortic valve development	3.13226804664225e-07	3.13226804664225e-07	1	AXIN2,NOTCH1,TGFBR2,SMAD2,RB1,SOX9,GATA3
AORTIC VALVE MORPHOGENESIS%GOBP%GO:0003180	aortic valve morphogenesis	1.4131516413526e-07	1.4131516413526e-07	1	AXIN2,NOTCH1,TGFBR2,SMAD2,RB1,SOX9,GATA3
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 transcription factor network	9.75008728951254e-08	9.75008728951254e-08	1	CDKN1B,CCND1,EP300,CBFB,PTEN,CTNNB1,TP53,CDKN2A
APOPTOSIS%REACTOME DATABASE ID RELEASE 83%109581	Apoptosis	3.73229126354034e-05	3.73229126354034e-05	1	APC,CDH1,TLR4,CDKN2A,TP53,AKT1,CTNNB1
APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME DATABASE ID RELEASE 83%111465	Apoptotic cleavage of cellular proteins	0.000144387271402941	0.000144387271402941	1	APC,CTNNB1,CDH1
APOPTOTIC EXECUTION PHASE%REACTOME DATABASE ID RELEASE 83%75153	Apoptotic execution phase	0.000301492610158155	0.000301492610158155	1	APC,CDH1,CTNNB1
APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097190	apoptotic signaling pathway	4.39439879438881e-05	4.39439879438881e-05	1	ATM,FGFR3,BRCA1,EP300,CHEK2,STK11,ACVR1B,CDKN1A,TP53
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	appendage development	0.00619350292468979	0.00619350292468979	1	CTNNB1,TBX3,FGFR2
APPENDAGE MORPHOGENESIS%GOBP%GO:0035107	appendage morphogenesis	0.00247434244561215	0.00247434244561215	1	CTNNB1,TBX3,FGFR2
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2586%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	3.25897656329482e-08	3.25897656329482e-08	1	RB1,NFE2L2,CDKN1B,NRAS,NF1,EP300,CDKN1A,KRAS,EGFR
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2873%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	0.00018546791595241	0.00018546791595241	1	NFE2L2,CDKN1B,EP300,EGFR
ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK	ATF-2 transcription factor network	5.6017001427856e-07	5.6017001427856e-07	1	RB1,CCND1,PDGFRA,NF1,EP300,CBFB,BRCA1
ATM PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATM PATHWAY	ATM pathway	2.49345496232952e-05	2.49345496232952e-05	1	SMC3,SMC1A,BRCA1,CHEK2,ATM
ATM SIGNALING IN DEVELOPMENT AND DISEASE %WIKIPATHWAYS_20220510%WP3878%HOMO SAPIENS	ATM signaling in development and disease	2.1035712857944e-06	2.1035712857944e-06	1	CHEK2,STK11,ATM,ATR,MTOR,SMC1A
ATM SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2516%HOMO SAPIENS	ATM signaling pathway	1.85545910778227e-05	1.85545910778227e-05	1	BRCA1,CHEK2,ATM,CDKN1A,SMC1A
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	ATR signaling pathway	0.00323105891274433	0.00323105891274433	1	PPP2R1A,BRCA2,ATR
ATRIOVENTRICULAR CANAL DEVELOPMENT%GOBP%GO:0036302	atrioventricular canal development	0.000267163582790117	0.000267163582790117	1	SMAD4,PTPN11,TBX3
ATRIOVENTRICULAR VALVE DEVELOPMENT%GOBP%GO:0003171	atrioventricular valve development	0.000131367445915199	0.000131367445915199	1	AXIN2,NOTCH1,TGFBR2,SMAD4
ATRIOVENTRICULAR VALVE MORPHOGENESIS%GOBP%GO:0003181	atrioventricular valve morphogenesis	8.51758332285698e-05	8.51758332285698e-05	1	AXIN2,NOTCH1,TGFBR2,SMAD4
AURORA A SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA A SIGNALING	Aurora A signaling	0.000819583979240389	0.000819583979240389	1	BRCA1,AKT1,TP53,AJUBA
AXIS SPECIFICATION%GOBP%GO:0009798	axis specification	0.00122444446465096	0.00122444446465096	1	SMAD2,TBX3,FOXA2,WT1
AXON GUIDANCE%GOBP%GO:0007411	axon guidance	0.00657923119719184	0.00657923119719184	1	NOTCH1,EPHA3,ARHGAP35,EPHB6
AXONOGENESIS%GOBP%GO:0007409	axonogenesis	0.000282656008947964	0.000282656008947964	1	EPHA3,ARHGAP35,EPHB6,NOTCH1,PTEN,FGFR2,USP9X
B CELL ACTIVATION%GOBP%GO:0042113	B cell activation	0.018192169769299	0.018192169769299	1	FLT3,ATM,PIK3R1,KIT
B CELL DIFFERENTIATION%GOBP%GO:0030183	B cell differentiation	0.00888623064993914	0.00888623064993914	1	FLT3,PIK3R1,ATM,KIT
BAFETINIB INHIBITION OF BCR-ABL%PATHWHIZ%PW032597	Bafetinib Inhibition of BCR-ABL	0.000194387451569759	0.000194387451569759	1	TP53,CDKN1B,PIK3R1,MTOR
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	BARD1 signaling events	0.000112546414650701	0.000112546414650701	1	BRCA1,ATM,TP53,ATR
BCR-ABL ACTION IN CML PATHOGENESIS%SMPDB%SMP0031692	BCR-ABL Action in CML Pathogenesis	0.000194387451569759	0.000194387451569759	1	TP53,CDKN1B,PIK3R1,MTOR
BEHAVIOR%GOBP%GO:0007610	behavior	0.00126567309377298	0.00126567309377298	1	LRRK2,NCOR1,EGFR,PTEN,FOXA2,TP53
BETA-CATENIN PHOSPHORYLATION CASCADE%REACTOME%R-HSA-196299.1	Beta-catenin phosphorylation cascade	0.000477240514226377	0.000477240514226377	1	APC,PPP2R1A,CTNNB1
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY	0.0017129737393618	0.0017129737393618	1	SMAD4,TGFBR2,CTNNB1
BIOCARTA_ATM_PATHWAY%MSIGDB_C2%BIOCARTA_ATM_PATHWAY	BIOCARTA_ATM_PATHWAY	2.04032623532978e-05	2.04032623532978e-05	1	ATM,CDKN1A,CHEK2,BRCA1
BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY	BIOCARTA_ATRBRCA_PATHWAY	1.54496086359655e-06	1.54496086359655e-06	1	ATM,CHEK2,BRCA1,BRCA2,ATR
BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY	BIOCARTA_CARM_ER_PATHWAY	0.000676484733154934	0.000676484733154934	1	CCND1,BRCA1,EP300
BIOCARTA_CELLCYCLE_PATHWAY%MSIGDB_C2%BIOCARTA_CELLCYCLE_PATHWAY	BIOCARTA_CELLCYCLE_PATHWAY	1.10078110943356e-07	1.10078110943356e-07	1	CDKN2A,RB1,CDKN1A,CCND1,CDKN1B,CDKN2C
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	2.62772829660517e-10	2.62772829660517e-10	1	CDKN2A,MTOR,TGFBR2,CDKN1B,PIK3R1,CTCF,SMAD4,PTEN
BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY	BIOCARTA_EIF4_PATHWAY	0.000891155061041974	0.000891155061041974	1	MTOR,PIK3R1,EIF4A2,PTEN
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY	1.10051064259551e-11	1.10051064259551e-11	1	CDKN2A,ATM,RB1,CDKN1A,CCND1,CDKN1B,ATR,SMAD4
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY	3.25897656329482e-08	3.25897656329482e-08	1	ATM,CDKN1A,CHEK2,BRCA1,EP300,ATR
BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY	BIOCARTA_KERATINOCYTE_PATHWAY	0.000466594905885371	0.000466594905885371	1	EGFR,MAP2K4,MAP3K1,CEBPA
BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY	0.00161082169410145	0.00161082169410145	1	PIK3R1,PTEN,PTPN11,HGF
BIOCARTA_MTOR_PATHWAY%MSIGDB_C2%BIOCARTA_MTOR_PATHWAY	BIOCARTA_MTOR_PATHWAY	0.000626759455018176	0.000626759455018176	1	MTOR,PIK3R1,EIF4A2,PTEN
BIOCARTA_NTHI_PATHWAY%MSIGDB_C2%BIOCARTA_NTHI_PATHWAY	BIOCARTA_NTHI_PATHWAY	0.000659406562483275	0.000659406562483275	1	TGFBR2,EP300,SMAD4
BIOCARTA_P53_PATHWAY%MSIGDB_C2%BIOCARTA_P53_PATHWAY	BIOCARTA_P53_PATHWAY	8.72520803880973e-06	8.72520803880973e-06	1	ATM,RB1,CDKN1A,CCND1
BIOCARTA_P53HYPOXIA_PATHWAY%MSIGDB_C2%BIOCARTA_P53HYPOXIA_PATHWAY	BIOCARTA_P53HYPOXIA_PATHWAY	1.57898019358295e-05	1.57898019358295e-05	1	ATM,TAF1,CDKN1A,EP300
BIOCARTA_PLK3_PATHWAY%MSIGDB_C2%BIOCARTA_PLK3_PATHWAY	BIOCARTA_PLK3_PATHWAY	2.00890185880789e-05	2.00890185880789e-05	1	CHEK2,ATM,ATR
BIOCARTA_PPARA_PATHWAY%MSIGDB_C2%BIOCARTA_PPARA_PATHWAY	BIOCARTA_PPARA_PATHWAY	0.00537003609566062	0.00537003609566062	1	PIK3R1,NCOR1,RB1,EP300
BIOCARTA_PTEN_PATHWAY%MSIGDB_C2%BIOCARTA_PTEN_PATHWAY	BIOCARTA_PTEN_PATHWAY	8.45795239828065e-05	8.45795239828065e-05	1	EGFR,CDKN1B,PIK3R1,PTEN
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY	4.63855295659668e-05	4.63855295659668e-05	1	RB1,CDKN1A,CCND1,CDKN1B,PIK3R1
BIOCARTA_TGFB_PATHWAY%MSIGDB_C2%BIOCARTA_TGFB_PATHWAY	BIOCARTA_TGFB_PATHWAY	1.58085248270835e-05	1.58085248270835e-05	1	TGFBR2,EP300,SMAD2,SMAD4
BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY	0.0013967978682327	0.0013967978682327	1	ARID1A,NCOR1,EP300
BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY	BIOCARTA_WNT_PATHWAY	0.000593118117971253	0.000593118117971253	1	CTNNB1,CCND1,SMAD4
BLADDER CANCER%WIKIPATHWAYS_20220510%WP2828%HOMO SAPIENS	Bladder cancer	1.46922072249927e-08	1.46922072249927e-08	1	RB1,PIK3R1,BRAF,NRAS,CCND1,FGFR3,CDKN1A,KRAS,CDKN2A,EGFR
BLOOD COAGULATION%GOBP%GO:0007596	blood coagulation	0.0191462100918701	0.0191462100918701	1	PIK3CG,PDGFRA,PIK3CA
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	blood vessel development	0.000511391727525993	0.000511391727525993	1	CTNNB1,EGR3,NOTCH1,SOX17,FGFR2,AKT1,TGFBR2,PDGFRA,WT1
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	blood vessel morphogenesis	0.00028349701505019	0.00028349701505019	1	CTNNB1,EGR3,NOTCH1,SOX17,FGFR2,AKT1,TGFBR2,PDGFRA,WT1
BMP SIGNALING IN EYELID DEVELOPMENT%WIKIPATHWAYS_20220510%WP3927%HOMO SAPIENS	BMP signaling in eyelid development	1.99547667612858e-05	1.99547667612858e-05	1	MAP3K1,SMAD4,NOTCH1,EGFR,FGFR2
BMP SIGNALING PATHWAY%GOBP%GO:0030509	BMP signaling pathway	0.0111777823646235	0.0111777823646235	1	SMAD4,USP9X,ACVR2A
BONE DEVELOPMENT%GOBP%GO:0060348	bone development	0.000478828381890294	0.000478828381890294	1	FGFR3,SOX9,FGFR2,KIT,TP53
BONE MORPHOGENESIS%GOBP%GO:0060349	bone morphogenesis	0.00244536537646642	0.00244536537646642	1	FGFR3,SOX9,FGFR2
BOSUTINIB INHIBITION OF BCR-ABL%PATHWHIZ%PW032596	Bosutinib Inhibition of BCR-ABL	0.000194387451569759	0.000194387451569759	1	TP53,CDKN1B,PIK3R1,MTOR
BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2380%HOMO SAPIENS	Brain-derived neurotrophic factor (BDNF) signaling pathway	0.0449303773143057	0.0449303773143057	1	PIK3R1,PTPN11,CTNNB1,MTOR,MAP3K1
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE%GOBP%GO:0048754	branching morphogenesis of an epithelial tube	0.000435682317716831	0.000435682317716831	1	TGFBR2,CTNNB1,FGFR2,WT1
BREAST CANCER PATHWAY%WIKIPATHWAYS_20220510%WP4262%HOMO SAPIENS	Breast cancer pathway	3.39041669892044e-12	3.39041669892044e-12	1	PIK3R1,CCND1,RB1,BRCA1,CDKN1A,BRAF,CTNNB1,ATR,KIT,AXIN2,NRAS,ATM,BRCA2,MTOR,PTEN,KRAS,NOTCH1,EGFR
BTG FAMILY PROTEINS AND CELL CYCLE REGULATION%SMPDB%SMP0063773	BTG Family Proteins and Cell Cycle Regulation	8.14972811057016e-05	8.14972811057016e-05	1	TP53,RB1,CCND1
BURN WOUND HEALING%WIKIPATHWAYS_20220510%WP5055%HOMO SAPIENS	Burn wound healing	0.00195927430085236	0.00195927430085236	1	FGFR3,FGFR2,HGF,TLR4
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB transcription factor network	7.19207288663061e-09	7.19207288663061e-09	1	CDKN1B,CCND1,NRAS,KRAS,CDKN1A,SIN3A,EP300,NCOR1,GATA3,KIT,CEBPA,CDKN2A
CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010	camera-type eye development	0.0247184134404014	0.0247184134404014	1	SOX9,PDGFRA,WT1
CAMKK2 PATHWAY%WIKIPATHWAYS_20220510%WP4874%HOMO SAPIENS	CAMKK2 pathway	0.000158590807926288	0.000158590807926288	1	NFE2L2,EP300,MTOR,SMC1A
CANONICAL AND NON-CANONICAL TGF-B SIGNALING%WIKIPATHWAYS_20220510%WP3874%HOMO SAPIENS	Canonical and non-canonical TGF-B signaling	0.000674321778674724	0.000674321778674724	1	TGFBR2,SMAD4,SMAD2
CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0060070	canonical Wnt signaling pathway	0.000303953124813778	0.000303953124813778	1	CTNNB1,PTEN,GATA3,LRRK2
CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006	cardiac cell development	0.00231590471459343	0.00231590471459343	1	NOTCH1,TBX3,PDGFRA
CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205	cardiac chamber development	0.000475352503528831	0.000475352503528831	1	NOTCH1,SMAD4,GATA3,TGFBR2,FGFR2
CARDIAC CHAMBER MORPHOGENESIS%GOBP%GO:0003206	cardiac chamber morphogenesis	0.000272091064586305	0.000272091064586305	1	NOTCH1,SMAD4,GATA3,TGFBR2,FGFR2
CARDIAC ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0003348	cardiac endothelial cell differentiation	2.76657689419103e-05	2.76657689419103e-05	1	NOTCH1,SMAD4,SOX17
CARDIAC HYPERTROPHIC RESPONSE%WIKIPATHWAYS_20220510%WP2795%HOMO SAPIENS	Cardiac hypertrophic response	0.00314038322832553	0.00314038322832553	1	FGFR2,MAP2K4,MTOR,MAP3K1
CARDIAC LEFT VENTRICLE MORPHOGENESIS%GOBP%GO:0003214	cardiac left ventricle morphogenesis	0.00025893703718238	0.00025893703718238	1	NOTCH1,TGFBR2,SMAD4
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	cardiac muscle cell differentiation	0.00377880496099669	0.00377880496099669	1	TBX3,PDGFRA,WT1
CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048738	cardiac muscle tissue development	0.000112726466521834	0.000112726466521834	1	NOTCH1,TBX3,FGFR2,SMAD4,PDGFRA,WT1
CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055008	cardiac muscle tissue morphogenesis	0.00258984622455291	0.00258984622455291	1	NOTCH1,SMAD4,FGFR2
CARDIAC PROGENITOR DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2406%HOMO SAPIENS	Cardiac progenitor differentiation	3.62164710766952e-05	3.62164710766952e-05	1	KIT,SOX17,NOTCH1,PDGFRA,FOXA2
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	cardiac septum development	9.45020496665712e-05	9.45020496665712e-05	1	NOTCH1,SMAD4,GATA3,TGFBR2,FGFR2
CARDIAC SEPTUM MORPHOGENESIS%GOBP%GO:0060411	cardiac septum morphogenesis	0.000435682317716831	0.000435682317716831	1	NOTCH1,TGFBR2,SMAD4,FGFR2
CARDIAC VENTRICLE DEVELOPMENT%GOBP%GO:0003231	cardiac ventricle development	0.000186708905594563	0.000186708905594563	1	NOTCH1,SMAD4,GATA3,TGFBR2,FGFR2
CARDIAC VENTRICLE MORPHOGENESIS%GOBP%GO:0003208	cardiac ventricle morphogenesis	5.01327314594242e-05	5.01327314594242e-05	1	NOTCH1,SMAD4,GATA3,TGFBR2,FGFR2
CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051	cardiocyte differentiation	1.71446298434957e-05	1.71446298434957e-05	1	NOTCH1,SMAD4,SOX17,TBX3,PDGFRA,WT1
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	CD40 CD40L signaling	0.000566706608678532	0.000566706608678532	1	PIK3CG,PIK3CA,MAP3K1,AKT1,MAP2K4,PIK3R1
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	CDC42 signaling events	6.7420587242458e-08	6.7420587242458e-08	1	APC,PIK3CA,BRAF,MAP3K1,MAP2K4,MTOR,CDH1,CTNNB1,PIK3R1
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002263	cell activation involved in immune response	0.0209778427962631	0.0209778427962631	1	PIK3CG,GATA3,KIT
CELL CHEMOTAXIS%GOBP%GO:0060326	cell chemotaxis	0.0070076077574252	0.0070076077574252	1	PIK3CG,EGR3,HGF,KIT,PDGFRA
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	cell cycle checkpoint signaling	1.14109156663417e-06	1.14109156663417e-06	1	CCND1,ATM,ATR,CHEK2,APC,CDKN1A,CDKN1B,BRCA1,TP53
CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:0044843	cell cycle G1/S phase transition	0.000317354407697916	0.000317354407697916	1	CCND1,ACVR1B,CDKN1A,RB1,CDKN1B
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	cell cycle phase transition	0.000654393412739895	0.000654393412739895	1	CCND1,CHEK2,ACVR1B,CDKN1A,RB1,CDKN1B
CELL CYCLE%WIKIPATHWAYS_20220510%WP179%HOMO SAPIENS	Cell cycle	3.84966765008085e-14	3.84966765008085e-14	1	CCND1,EP300,RB1,CHEK2,SMAD4,CDKN1A,SMC1A,CDKN2C,ATR,SMC3,CDKN1B,RAD21,ATM,SMAD2,CDKN2A
CELL DIVISION%REACTOME%R-HSA-68884.3	cell division	1.71446298434957e-05	1.71446298434957e-05	1	RAD21,STAG2,SMC1A,SMC3
CELL FATE COMMITMENT%GOBP%GO:0045165	cell fate commitment	5.39041836525646e-06	5.39041836525646e-06	1	SOX17,TBX3,FOXA2,SOX9,FGFR2,SMAD2,GATA3,APC,WT1
CELL FATE SPECIFICATION%GOBP%GO:0001708	cell fate specification	2.76657689419103e-05	2.76657689419103e-05	1	SOX17,TBX3,FOXA2,SOX9,APC
CELL GROWTH%GOBP%GO:0016049	cell growth	0.00461776784162244	0.00461776784162244	1	CTNNB1,USP9X,SOX9
CELL JUNCTION ASSEMBLY%GOBP%GO:0034329	cell junction assembly	0.00101990897955827	0.00101990897955827	1	CTNNB1,APC,PTEN,CDH1
