GO.ID	Description	p.Val	FDR	Phenotype	Genes
ANDROGEN RECEPTOR NETWORK IN PROSTATE CANCER%WIKIPATHWAYS_20240510%WP2263%HOMO SAPIENS	Androgen receptor network in prostate cancer	2.337089108676405e-10	2.337089108676405e-10	+1	PTEN,ARID1A,RB1,ATM,HGF,BRCA1,FOXA1,CHEK2,CCND1,ATR,PTPN11,SMAD2
NEGATIVE REGULATION OF GROWTH%GOBP%GO:0045926	negative regulation of growth	2.789948548661015e-10	2.789948548661015e-10	+1	TP53,PTEN,CDKN2A,RB1,STK11,CDKN1B,WT1,BRCA1,SMAD4,FGFR3,SOX17,CDKN1A,ACVR1B,CDKN2C
INTEGRATED CANCER PATHWAY%WIKIPATHWAYS_20240510%WP1971%HOMO SAPIENS	Integrated cancer pathway	6.211675407047264e-10	6.211675407047264e-10	+1	PTEN,RB1,ATM,CDKN1B,BRCA1,CHEK2,CDKN1A,ATR,SMAD2
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	p53 pathway feedback loops 2	7.47487515161446e-10	7.47487515161446e-10	+1	TP53,PIK3CA,PTEN,RB1,CTNNB1,PIK3CG,ATM,CDKN1A,ATR
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	protein autophosphorylation	2.2412579833146482e-9	2.2412579833146482e-9	+1	EGFR,FLT3,STK11,ATM,LRRK2,CHEK2,KIT,PDGFRA,FGFR2,TAF1,ATR,CDK12,ACVR1B
SUMO E3 LIGASES SUMOYLATE TARGET PROTEINS%REACTOME DATABASE ID RELEASE 81%3108232	SUMO E3 ligases SUMOylate target proteins	4.00883741897946e-9	4.00883741897946e-9	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
NEGATIVE REGULATION OF CELL GROWTH%GOBP%GO:0030308	negative regulation of cell growth	4.00883741897946e-9	4.00883741897946e-9	+1	TP53,CDKN2A,RB1,STK11,CDKN1B,WT1,BRCA1,SMAD4,SOX17,CDKN1A,ACVR1B,CDKN2C
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240510%WP138%HOMO SAPIENS	Androgen receptor signaling pathway	4.00883741897946e-9	4.00883741897946e-9	+1	PTEN,EGFR,RB1,CTNNB1,BRCA1,EP300,CCND1,SMAD4,SIN3A,NCOR1
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20240510%WP4263%HOMO SAPIENS	Pancreatic adenocarcinoma pathway	4.00883741897946e-9	4.00883741897946e-9	+1	EGFR,CDKN2A,RB1,BRAF,CCND1,SMAD4,BRCA2,TGFBR2,CDKN1A,SMAD2
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	PID_CMYB_PATHWAY	4.00883741897946e-9	4.00883741897946e-9	+1	CDKN2A,GATA3,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	5.3019369867542095e-9	5.3019369867542095e-9	+1	PTEN,EGFR,RB1,CTNNB1,CEBPA,BRCA1,FOXA1,EP300,CCND1,SMAD4,SIN3A
SUMOYLATION%REACTOME DATABASE ID RELEASE 81%2990846	SUMOylation	5.912737227383288e-9	5.912737227383288e-9	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
CELLULAR RESPONSE TO ABIOTIC STIMULUS%GOBP%GO:0071214	cellular response to abiotic stimulus	6.00475991787437e-9	6.00475991787437e-9	+1	TP53,PIK3CA,PTEN,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,BRCA1,EP300,BRCA2,CDKN1A,TAF1,ATR
CELLULAR RESPONSE TO ENVIRONMENTAL STIMULUS%GOBP%GO:0104004	cellular response to environmental stimulus	6.00475991787437e-9	6.00475991787437e-9	+1	TP53,PIK3CA,PTEN,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,BRCA1,EP300,BRCA2,CDKN1A,TAF1,ATR
ENDOMETRIAL CANCER%WIKIPATHWAYS_20240510%WP4155%HOMO SAPIENS	Endometrial cancer	6.706487275303663e-9	6.706487275303663e-9	+1	PTEN,EGFR,CTNNB1,BRAF,FGFR2,CCND1,FGFR3,CDKN1A,AXIN2
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	TGF_beta_Receptor	7.110342156562175e-9	7.110342156562175e-9	+1	RB1,CTNNB1,CTCF,STK11,SOX9,BRCA1,EP300,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2
TROP2 REGULATORY SIGNALING%WIKIPATHWAYS_20240510%WP5300%HOMO SAPIENS	TROP2 regulatory signaling	1.2231770298566509e-8	1.2231770298566509e-8	+1	PTEN,EGFR,CDKN2A,RB1,NOTCH1,CTNNB1,CDKN1B,CCND1
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1.2231770298566509e-8	1.2231770298566509e-8	+1	TP53,PTEN,APC,RB1,ATM,CDKN1B,CHEK2,CCND1,CDKN1A
REGULATION OF NUCLEAR SMAD2 3 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR SMAD2 3 SIGNALING	Regulation of nuclear SMAD2 3 signaling	1.4131222199002204e-8	1.4131222199002204e-8	+1	GATA3,RUNX1,AR,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20240510%WP3584%HOMO SAPIENS	MECP2 and associated Rett syndrome	1.5548438989415187e-8	1.5548438989415187e-8	+1	PTEN,NF1,CTCF,TET2,TAF1,SIN3A,SMC3,NCOR1,EZH2
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB transcription factor network	1.6954259175182475e-8	1.6954259175182475e-8	+1	CDKN2A,GATA3,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
ESR-MEDIATED SIGNALING%REACTOME%R-HSA-8939211.6	ESR-mediated signaling	1.7888896409622558e-8	1.7888896409622558e-8	+1	PIK3CA,EGFR,GATA3,RUNX1,STAG2,CDKN1B,FOXA1,EP300,CCND1,CBFB,SMC1A,SMC3,RAD21
DNA DAMAGE RESPONSE%WIKIPATHWAYS_20240510%WP707%HOMO SAPIENS	DNA damage response	2.1965180337316286e-8	2.1965180337316286e-8	+1	RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR,SMC1A
NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902807	negative regulation of cell cycle G1/S phase transition	2.1965180337316286e-8	2.1965180337316286e-8	+1	TP53,PTEN,APC,RB1,ATM,CDKN1B,CHEK2,CCND1,CDKN1A
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION	Validated targets of C-MYC transcriptional repression	2.3531259506679813e-8	2.3531259506679813e-8	+1	DNMT3A,CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	PID_E2F_PATHWAY	2.3531259506679813e-8	2.3531259506679813e-8	+1	CDKN2A,RB1,CEBPA,ATM,CDKN1B,BRCA1,EP300,CDKN1A,CDKN2C
MIRNA REGULATION OF DNA DAMAGE RESPONSE%WIKIPATHWAYS_20240510%WP1530%HOMO SAPIENS	miRNA regulation of DNA damage response	2.3531259506679813e-8	2.3531259506679813e-8	+1	RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR,SMC1A
PHOTODYNAMIC THERAPY INDUCED AP 1 SURVIVAL SIGNALING%WIKIPATHWAYS_20240510%WP3611%HOMO SAPIENS	Photodynamic therapy induced AP 1 survival signaling	2.650115603213477e-8	2.650115603213477e-8	+1	EGFR,CDKN2A,RB1,NFE2L2,MAP2K4,PDGFRA,CCND1,CDKN1A
FORMATION OF DEFINITIVE ENDODERM%REACTOME%R-HSA-9823730.2	Formation of definitive endoderm	2.8902101813898562e-8	2.8902101813898562e-8	+1	CTNNB1,CDH1,SMAD4,FOXA2,SOX17,SMAD2
PI3K AKT SIGNALING IN CANCER%REACTOME DATABASE ID RELEASE 81%2219528	PI3K AKT Signaling in Cancer	2.9891230283234305e-8	2.9891230283234305e-8	+1	PIK3CA,PTEN,EGFR,FLT3,CDKN1B,HGF,KIT,PDGFRA,CDKN1A,PTPN11
CHROMATIN ORGANIZATION%REACTOME%R-HSA-4839726.4	Chromatin organization	2.9989004803394133e-8	2.9989004803394133e-8	+1	ARID1A,PBRM1,DNMT3A,KDM6A,KDM5C,ARID5B,SETD2,EP300,CCND1,NSD1,TBL1XR1,MECOM,NCOR1,EZH2
CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 81%3247509	Chromatin modifying enzymes	2.9989004803394133e-8	2.9989004803394133e-8	+1	ARID1A,PBRM1,DNMT3A,KDM6A,KDM5C,ARID5B,SETD2,EP300,CCND1,NSD1,TBL1XR1,MECOM,NCOR1,EZH2
HEART VALVE DEVELOPMENT%GOBP%GO:0003170	heart valve development	3.1396854937573576e-8	3.1396854937573576e-8	+1	APC,GATA3,RB1,NOTCH1,SOX9,SMAD4,TGFBR2,SMAD2,AXIN2
DNA IR DOUBLE STRAND BREAKS AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20240510%WP3959%HOMO SAPIENS	DNA IR double strand breaks and cellular response via ATM	3.9953877224125314e-8	3.9953877224125314e-8	+1	CDKN2A,ATM,BRCA1,CHEK2,BRCA2,ATR,SMC1A,SMC3
CLEAR CELL RENAL CELL CARCINOMA PATHWAYS%WIKIPATHWAYS_20240510%WP4018%HOMO SAPIENS	Clear cell renal cell carcinoma pathways	3.9953877224125314e-8	3.9953877224125314e-8	+1	PTEN,VHL,PBRM1,EGFR,BAP1,KDM5C,SETD2,PDGFRA,EP300
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 81%8878159	Transcriptional regulation by RUNX3	4.026988419933299e-8	4.026988419933299e-8	+1	TP53,CDKN2A,NOTCH1,CTNNB1,RUNX1,EP300,CCND1,SMAD4,CDKN1A,CBFB
CELLULAR SENESCENCE%GOBP%GO:0090398	cellular senescence	4.594373393407045e-8	4.594373393407045e-8	+1	TP53,CDKN2A,NPM1,TBX3,MAP2K4,ATM,CDKN1B,CDKN1A
PID_SMAD2_3NUCLEAR_PATHWAY%MSIGDB_C2%PID_SMAD2_3NUCLEAR_PATHWAY	PID_SMAD2_3NUCLEAR_PATHWAY	4.861848411222051e-8	4.861848411222051e-8	+1	GATA3,RUNX1,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	5.584641020871895e-8	5.584641020871895e-8	+1	CDKN2A,CTCF,CDKN1B,BRCA1,CHEK2,BRCA2,CDKN1A,SMC1A,SMC3,RAD21,CDKN2C,EZH2
EGFR TYROSINE KINASE INHIBITOR RESISTANCE%WIKIPATHWAYS_20240510%WP4806%HOMO SAPIENS	EGFR tyrosine kinase inhibitor resistance	6.869844214349659e-8	6.869844214349659e-8	+1	PTEN,EGFR,NF1,BRAF,HGF,PDGFRA,FGFR2,CCND1,FGFR3
E2F TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E2F TRANSCRIPTION FACTOR NETWORK	E2F transcription factor network	7.633408672298237e-8	7.633408672298237e-8	+1	CDKN2A,RB1,CEBPA,ATM,CDKN1B,BRCA1,EP300,CDKN1A,CDKN2C
PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY	PID_MYC_REPRESS_PATHWAY	9.719800499422436e-8	9.719800499422436e-8	+1	CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	1.1442176497784144e-7	1.1442176497784144e-7	+1	PTEN,CDKN2A,CTCF,CDKN1B,SMAD4,TGFBR2
BLADDER CANCER%WIKIPATHWAYS_20240510%WP2828%HOMO SAPIENS	Bladder cancer	1.2378515205697765e-7	1.2378515205697765e-7	+1	EGFR,CDKN2A,RB1,BRAF,CCND1,FGFR3,CDKN1A
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	negative regulation of mitotic cell cycle phase transition	1.3026552953805091e-7	1.3026552953805091e-7	+1	TP53,PTEN,APC,RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR
REGULATION OF NUCLEAR BETA CATENIN SIGNALING AND TARGET GENE TRANSCRIPTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR BETA CATENIN SIGNALING AND TARGET GENE TRANSCRIPTION	Regulation of nuclear beta catenin signaling and target gene transcription	1.416970948301009e-7	1.416970948301009e-7	+1	APC,CDKN2A,CTNNB1,CDH1,AR,EP300,CCND1,TBL1XR1,AXIN2
MELANOMA%WIKIPATHWAYS_20240510%WP4685%HOMO SAPIENS	Melanoma	1.416970948301009e-7	1.416970948301009e-7	+1	PTEN,NF1,CDKN2A,RB1,BRAF,KIT,CCND1,CDKN1A
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	negative regulation of mitotic cell cycle	1.444187742851945e-7	1.444187742851945e-7	+1	TP53,PTEN,APC,RB1,CTNNB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR
HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	heart valve morphogenesis	1.564950868347726e-7	1.564950868347726e-7	+1	GATA3,RB1,NOTCH1,SOX9,SMAD4,TGFBR2,SMAD2,AXIN2
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1.564950868347726e-7	1.564950868347726e-7	+1	PTEN,APC,EGFR,CDKN2A,CDKN1B,CCND1,CDKN1A,CDKN2C
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY	1.9465353119986146e-7	1.9465353119986146e-7	+1	ATM,BRCA1,CHEK2,EP300,CDKN1A,ATR
BIOCARTA_CELLCYCLE_PATHWAY%MSIGDB_C2%BIOCARTA_CELLCYCLE_PATHWAY	BIOCARTA_CELLCYCLE_PATHWAY	1.9465353119986146e-7	1.9465353119986146e-7	+1	CDKN2A,RB1,CDKN1B,CCND1,CDKN1A,CDKN2C
ESTROGEN-DEPENDENT GENE EXPRESSION%REACTOME DATABASE ID RELEASE 81%9018519	Estrogen-dependent gene expression	2.1504098806154796e-7	2.1504098806154796e-7	+1	GATA3,RUNX1,STAG2,FOXA1,EP300,CCND1,CBFB,SMC1A,SMC3,RAD21
PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY	PID_RB_1PATHWAY	2.1928062104510368e-7	2.1928062104510368e-7	+1	CDKN2A,RB1,CEBPA,CDKN1B,EP300,CCND1,CDKN1A,TAF1
REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:1904029	regulation of cyclin-dependent protein kinase activity	2.1928062104510368e-7	2.1928062104510368e-7	+1	PTEN,APC,EGFR,CDKN2A,CDKN1B,CCND1,CDKN1A,CDKN2C
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	negative regulation of cell cycle process	2.1928062104510368e-7	2.1928062104510368e-7	+1	TP53,PTEN,APC,RB1,NPM1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,CCND1,CDKN1A,ATR
HIPPO MERLIN SIGNALING DYSREGULATION%WIKIPATHWAYS_20240510%WP4541%HOMO SAPIENS	Hippo Merlin signaling dysregulation	2.29097553342818e-7	2.29097553342818e-7	+1	EGFR,CTNNB1,FLT3,AJUBA,KIT,PDGFRA,FGFR2,CCND1,FGFR3
SMC1 SMC3 ROLE IN DNA DAMAGE CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20240510%WP5118%HOMO SAPIENS	SMC1 SMC3 role in DNA damage Cornelia de Lange Syndrome	2.630170099479199e-7	2.630170099479199e-7	+1	ATM,BRCA1,SMC1A,SMC3,RAD21
AORTIC VALVE MORPHOGENESIS%GOBP%GO:0003180	aortic valve morphogenesis	2.6821808602527016e-7	2.6821808602527016e-7	+1	GATA3,RB1,NOTCH1,SOX9,TGFBR2,SMAD2,AXIN2
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20240510%WP2586%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	2.6821808602527016e-7	2.6821808602527016e-7	+1	EGFR,NF1,RB1,NFE2L2,CDKN1B,EP300,CDKN1A
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20240510%WP4216%HOMO SAPIENS	Chromosomal and microsatellite instability in colorectal cancer	3.06608794362828e-7	3.06608794362828e-7	+1	CTNNB1,BRAF,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2,AXIN2
REPRODUCTION%REACTOME%R-HSA-1474165.6	Reproduction	3.0925660836929295e-7	3.0925660836929295e-7	+1	STAG2,ATM,TET2,BRCA1,BRCA2,SOX17,ATR,SMC1A,SMC3,RAD21
EXTRACELLULAR VESICLE MEDIATED SIGNALING IN RECIPIENT CELLS%WIKIPATHWAYS_20240510%WP2870%HOMO SAPIENS	Extracellular vesicle mediated signaling in recipient cells	4.057081361773871e-7	4.057081361773871e-7	+1	EGFR,CTNNB1,HGF,SMAD4,TGFBR2,SMAD2
REPLICATIVE SENESCENCE%GOBP%GO:0090399	replicative senescence	4.1320201498360475e-7	4.1320201498360475e-7	+1	TP53,CDKN2A,ATM,CHEK2,ATR
REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN	Regulation of retinoblastoma protein	4.271927639506703e-7	4.271927639506703e-7	+1	CDKN2A,RB1,CEBPA,CDKN1B,EP300,CCND1,CDKN1A,TAF1
HEART MORPHOGENESIS%GOBP%GO:0003007	heart morphogenesis	4.3204886195749335e-7	4.3204886195749335e-7	+1	APC,GATA3,NOTCH1,CTNNB1,TBX3,SOX9,FGFR2,SMAD4,TGFBR2,SOX17,SMAD2
REGULATION OF MIRNA TRANSCRIPTION%GOBP%GO:1902893	regulation of miRNA transcription	4.7134237420772294e-7	4.7134237420772294e-7	+1	TP53,EGFR,GATA3,AR,SOX9,WT1,FOXA1,NCOR1
MESENCHYME DEVELOPMENT%GOBP%GO:0060485	mesenchyme development	4.779200114400655e-7	4.779200114400655e-7	+1	APC,NOTCH1,CTNNB1,TBX3,SOX9,WT1,HGF,FGFR2,SMAD4,TGFBR2,SMAD2
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	aortic valve development	5.787873506994713e-7	5.787873506994713e-7	+1	GATA3,RB1,NOTCH1,SOX9,TGFBR2,SMAD2,AXIN2
NEGATIVE REGULATION OF THE PI3K AKT NETWORK%REACTOME DATABASE ID RELEASE 81%199418	Negative regulation of the PI3K AKT network	6.61774668745851e-7	6.61774668745851e-7	+1	PIK3CA,PTEN,EGFR,FLT3,HGF,KIT,PDGFRA,PPP2R1A,PTPN11
EMBRYONIC STEM CELL PLURIPOTENCY PATHWAYS%WIKIPATHWAYS_20240510%WP3931%HOMO SAPIENS	Embryonic stem cell pluripotency pathways	6.61774668745851e-7	6.61774668745851e-7	+1	PTEN,EGFR,CTNNB1,BRAF,PDGFRA,FGFR2,SMAD4,FGFR3,PTPN11
PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY	PID_NOTCH_PATHWAY	6.61774668745851e-7	6.61774668745851e-7	+1	GATA3,NOTCH1,FBXW7,EP300,CCND1,CDKN1A,NCOR1
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 transcription factor network	6.969532591709208e-7	6.969532591709208e-7	+1	TP53,PTEN,CDKN2A,CTNNB1,CDKN1B,EP300,CCND1,CBFB
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0072331	signal transduction by p53 class mediator	6.969532591709208e-7	6.969532591709208e-7	+1	TP53,STK11,ATM,CDKN1B,ATRX,CHEK2,EP300,CDKN1A
CYCLIN D ASSOCIATED EVENTS IN G1%REACTOME%R-HSA-69231.11	Cyclin D associated events in G1	7.364407229506435e-7	7.364407229506435e-7	+1	CDKN2A,RB1,CDKN1B,CCND1,CDKN1A,PPP2R1A,CDKN2C
G1 PHASE%REACTOME%R-HSA-69236.6	G1 Phase	7.364407229506435e-7	7.364407229506435e-7	+1	CDKN2A,RB1,CDKN1B,CCND1,CDKN1A,PPP2R1A,CDKN2C
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	negative regulation of transferase activity	8.35563411735693e-7	8.35563411735693e-7	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CDKN1B,FOXA2,CDKN1A,EIF4A2,MAPK8IP1
MITOTIC G1/S TRANSITION CHECKPOINT SIGNALING%GOBP%GO:0044819	mitotic G1/S transition checkpoint signaling	9.169130505839657e-7	9.169130505839657e-7	+1	TP53,ATM,CDKN1B,CHEK2,CCND1,CDKN1A
MITOTIC G1 DNA DAMAGE CHECKPOINT SIGNALING%GOBP%GO:0031571	mitotic G1 DNA damage checkpoint signaling	9.169130505839657e-7	9.169130505839657e-7	+1	TP53,ATM,CDKN1B,CHEK2,CCND1,CDKN1A
REPRODUCTIVE SYSTEM DEVELOPMENT%GOBP%GO:0061458	reproductive system development	9.241982766514038e-7	9.241982766514038e-7	+1	GATA3,TBX3,AR,SOX9,WT1,KIT,PDGFRA,FGFR2,PTPN11
REPRODUCTIVE STRUCTURE DEVELOPMENT%GOBP%GO:0048608	reproductive structure development	9.241982766514038e-7	9.241982766514038e-7	+1	GATA3,TBX3,AR,SOX9,WT1,KIT,PDGFRA,FGFR2,PTPN11
SEMI-LUNAR VALVE DEVELOPMENT%GOBP%GO:1905314	semi-lunar valve development	9.386040987289265e-7	9.386040987289265e-7	+1	GATA3,RB1,NOTCH1,SOX9,TGFBR2,SMAD2,AXIN2
CELLULAR RESPONSE TO RADIATION%GOBP%GO:0071478	cellular response to radiation	9.769221761472587e-7	9.769221761472587e-7	+1	TP53,NPM1,STK11,ATM,BRCA1,EP300,BRCA2,CDKN1A,TAF1,ATR
REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000628	regulation of miRNA metabolic process	0.0000010870547068146462	0.0000010870547068146462	+1	TP53,EGFR,GATA3,AR,SOX9,WT1,FOXA1,NCOR1
