GO.ID	Description	p.Val	FDR	Phenotype	Genes
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20200810%WP138%HOMO SAPIENS	Androgen receptor signaling pathway	1.7089749745470005e-12	1.7089749745470005e-12	+1	PTEN,EGFR,PIK3R1,RB1,CTNNB1,AKT1,AR,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SIN3A,NCOR1
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	1.7089749745470005e-12	1.7089749745470005e-12	+1	PTEN,EGFR,PIK3R1,RB1,CTNNB1,RUNX1,CEBPA,AKT1,AR,BRCA1,FOXA1,EP300,CCND1,SMAD4,SIN3A,NSD1
ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20200810%WP673%HOMO SAPIENS	ErbB Signaling Pathway	1.7089749745470005e-12	1.7089749745470005e-12	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,NRAS,MAP2K4,AKT1,BRAF,CDKN1B,ERBB4,MTOR,CCND1,CDKN1A
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	protein autophosphorylation	2.8208300018679792e-12	2.8208300018679792e-12	+1	EGFR,FLT3,STK11,AKT1,ATM,ERBB4,MTOR,LRRK2,CHEK2,KIT,PDGFRA,FGFR2,FGFR3,TAF1,ATR,CDK12,ACVR1B
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	regulation of cell cycle G1/S phase transition	4.820927461567418e-12	4.820927461567418e-12	+1	TP53,PTEN,EGFR,CDKN2A,RB1,FBXW7,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,TAF1,CDKN2C,EZH2
P53 PATHWAY%PANTHER PATHWAY%P00059	p53 pathway	6.423838465296025e-12	6.423838465296025e-12	+1	TP53,PIK3CA,PTEN,CDKN2A,AKT1,ATM,CHEK2,EP300,CDKN1A,ATR,SIN3A
INTEGRATED CANCER PATHWAY%WIKIPATHWAYS_20200810%WP1971%HOMO SAPIENS	Integrated Cancer Pathway	8.023847406054564e-12	8.023847406054564e-12	+1	TP53,PTEN,RB1,AKT1,ATM,CDKN1B,BRCA1,CHEK2,CDKN1A,ATR,SMAD2
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010717	regulation of epithelial to mesenchymal transition	1.1838615915567024e-11	1.1838615915567024e-11	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	TGF_beta_Receptor	1.9183024629213366e-11	1.9183024629213366e-11	+1	TP53,PIK3R1,RB1,CTNNB1,CTCF,STK11,AKT1,AR,SOX9,BRCA1,EP300,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2,AXIN2
GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20200810%WP4659%HOMO SAPIENS	Gastrin Signaling Pathway	3.6701124368877526e-11	3.6701124368877526e-11	+1	PIK3CA,KRAS,EGFR,PIK3R1,CDKN2A,CTNNB1,CDH1,AKT1,CDKN1B,MTOR,KIT,CCND1,CDKN1A,PTPN11
NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20200810%WP4255%HOMO SAPIENS	Non-small cell lung cancer	4.693513401939261e-11	4.693513401939261e-11	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,CDKN2A,RB1,NRAS,AKT1,BRAF,CCND1,CDKN1A
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20200810%WP4216%HOMO SAPIENS	Chromosomal and microsatellite instability in colorectal cancer	7.288535701532106e-11	7.288535701532106e-11	+1	TP53,APC,KRAS,CTNNB1,AKT1,BRAF,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2,AXIN2
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY	7.288535701532106e-11	7.288535701532106e-11	+1	TP53,CDKN2A,RB1,ATM,CDKN1B,CCND1,SMAD4,CDKN1A,ATR
ESR-MEDIATED SIGNALING%REACTOME%R-HSA-8939211.2	ESR-mediated signaling	1.1177546135110856e-10	1.1177546135110856e-10	+1	PIK3CA,EGFR,PIK3R1,GATA3,RUNX1,NRAS,AKT1,STAG2,CDKN1B,FOXA1,EP300,CCND1,CBFB,HIST1H2BD,SMC1A,SMC3,RAD21
MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20200810%WP2857%HOMO SAPIENS	Mesodermal Commitment Pathway	1.2482718963470773e-10	1.2482718963470773e-10	+1	GATA3,NFE2L2,TBX3,KDM6A,ARID5B,FOXA1,SETD2,CCND1,SMAD4,FOXA2,SOX17,PHF6,ACVR2A,SMAD2,AXIN2
HEPATITIS B INFECTION%WIKIPATHWAYS_20200810%WP4666%HOMO SAPIENS	Hepatitis B infection	1.2482718963470773e-10	1.2482718963470773e-10	+1	PIK3CA,KRAS,PIK3R1,MAP3K1,NRAS,MAP2K4,AKT1,BRAF,TLR4,EP300,SMAD4,TGFBR2,CDKN1A,EGR3,SMAD2
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20200810%WP3844%HOMO SAPIENS	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	1.3037388957603046e-10	1.3037388957603046e-10	+1	PIK3CA,PTEN,KRAS,PIK3R1,NRAS,AKT1,PIK3CG,CDKN1B,MTOR
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	negative regulation of transferase activity	1.787114356940053e-10	1.787114356940053e-10	+1	TP53,PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,EIF4A2,MAPK8IP1,RPL5
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	PID_CMYB_PATHWAY	2.396702920060849e-10	2.396702920060849e-10	+1	KRAS,CDKN2A,GATA3,NRAS,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB transcription factor network	2.396702920060849e-10	2.396702920060849e-10	+1	KRAS,CDKN2A,GATA3,NRAS,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
PI3K AKT SIGNALING IN CANCER%REACTOME%R-HSA-2219528.1	PI3K AKT Signaling in Cancer	4.743931789460931e-10	4.743931789460931e-10	+1	PIK3CA,PTEN,EGFR,PIK3R1,AKT1,CDKN1B,HGF,MTOR,KIT,PDGFRA,CDKN1A,PTPN11
NEGATIVE REGULATION OF GROWTH%GOBP%GO:0045926	negative regulation of growth	5.775100344548353e-10	5.775100344548353e-10	+1	TP53,PTEN,CDKN2A,RB1,NOTCH1,STK11,CDKN1B,WT1,SMAD4,FGFR3,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
ESC PLURIPOTENCY PATHWAYS%WIKIPATHWAYS_20200810%WP3931%HOMO SAPIENS	ESC Pluripotency Pathways	7.65464957227083e-10	7.65464957227083e-10	+1	PTEN,APC,EGFR,CTNNB1,AKT1,BRAF,MTOR,PDGFRA,FGFR2,SMAD4,FGFR3,PTPN11,LIFR
MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20200810%WP3584%HOMO SAPIENS	MECP2 and Associated Rett Syndrome	1.0342242437232256e-9	1.0342242437232256e-9	+1	PTEN,NF1,CTCF,AKT1,MTOR,TET2,TAF1,SIN3A,SMC3,NCOR1,EZH2
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	regulation of G1/S transition of mitotic cell cycle	2.296234780472316e-9	2.296234780472316e-9	+1	TP53,PTEN,EGFR,CDKN2A,RB1,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	2.4065620259147747e-9	2.4065620259147747e-9	+1	PIK3CA,APC,PIK3R1,CTNNB1,MAP3K1,CDH1,MAP2K4,AKT1,HGF,MTOR,PTPN11
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	PID_MET_PATHWAY	2.7078277911980483e-9	2.7078277911980483e-9	+1	PIK3CA,APC,PIK3R1,CTNNB1,MAP3K1,CDH1,MAP2K4,AKT1,HGF,MTOR,PTPN11
PID_SMAD2_3NUCLEAR_PATHWAY%MSIGDB_C2%PID_SMAD2_3NUCLEAR_PATHWAY	PID_SMAD2_3NUCLEAR_PATHWAY	3.0424679916371105e-9	3.0424679916371105e-9	+1	GATA3,RUNX1,AKT1,AR,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
REGULATION OF NUCLEAR SMAD2 3 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR SMAD2 3 SIGNALING	Regulation of nuclear SMAD2 3 signaling	3.413688360195036e-9	3.413688360195036e-9	+1	GATA3,RUNX1,AKT1,AR,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
PATHWAYS IN CLEAR CELL RENAL CELL CARCINOMA%WIKIPATHWAYS_20200810%WP4018%HOMO SAPIENS	Pathways in clear cell renal cell carcinoma	5.6860857217692385e-9	5.6860857217692385e-9	+1	PTEN,VHL,PBRM1,EGFR,BAP1,AKT1,KDM5C,MTOR,SETD2,PDGFRA,EP300
PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 73%1257604	PI3K AKT Signaling	7.74997433788732e-9	7.74997433788732e-9	+1	TP53,PIK3CA,PTEN,EGFR,PIK3R1,AKT1,CDKN1B,HGF,MTOR,KIT,PDGFRA,CDKN1A,PPP2R1A,PTPN11,MECOM,EZH2
ARYL HYDROCARBON RECEPTOR NETPATH%WIKIPATHWAYS_20200810%WP2586%HOMO SAPIENS	Aryl Hydrocarbon Receptor Netpath	9.357802456382596e-9	9.357802456382596e-9	+1	KRAS,EGFR,NF1,RB1,NFE2L2,NRAS,CDKN1B,EP300,CDKN1A
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1.2715120013032327e-8	1.2715120013032327e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
DNA DAMAGE RESPONSE%WIKIPATHWAYS_20200810%WP707%HOMO SAPIENS	DNA Damage Response	1.322509772686152e-8	1.322509772686152e-8	+1	TP53,RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR,SMC1A
PID_ECADHERIN_KERATINOCYTE_PATHWAY%MSIGDB_C2%PID_ECADHERIN_KERATINOCYTE_PATHWAY	PID_ECADHERIN_KERATINOCYTE_PATHWAY	1.3290157570215978e-8	1.3290157570215978e-8	+1	PIK3CA,EGFR,PIK3R1,CTNNB1,CDH1,AKT1,AJUBA
E-CADHERIN SIGNALING IN KERATINOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN KERATINOCYTES	E-cadherin signaling in keratinocytes	1.3290157570215978e-8	1.3290157570215978e-8	+1	PIK3CA,EGFR,PIK3R1,CTNNB1,CDH1,AKT1,AJUBA
HIPPO-MERLIN SIGNALING DYSREGULATION%WIKIPATHWAYS_20200810%WP4541%HOMO SAPIENS	Hippo-Merlin Signaling Dysregulation	1.3290157570215978e-8	1.3290157570215978e-8	+1	KRAS,EGFR,CTNNB1,FLT3,CDH1,NRAS,AJUBA,KIT,PDGFRA,FGFR2,CCND1,FGFR3
PHOTODYNAMIC THERAPY-INDUCED AP-1 SURVIVAL SIGNALING.%WIKIPATHWAYS_20200810%WP3611%HOMO SAPIENS	Photodynamic therapy-induced AP-1 survival signaling.	1.4272109240974268e-8	1.4272109240974268e-8	+1	TP53,EGFR,CDKN2A,RB1,NFE2L2,MAP2K4,PDGFRA,CCND1,CDKN1A
NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902807	negative regulation of cell cycle G1/S phase transition	1.4272109240974268e-8	1.4272109240974268e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME%R-HSA-8878159.2	Transcriptional regulation by RUNX3	1.4272109240974268e-8	1.4272109240974268e-8	+1	TP53,KRAS,CDKN2A,NOTCH1,CTNNB1,RUNX1,EP300,CCND1,SMAD4,CDKN1A,CBFB
ANGIOGENESIS%PANTHER PATHWAY%P00005	Angiogenesis	1.5619089723150042e-8	1.5619089723150042e-8	+1	PIK3CA,APC,PIK3R1,NOTCH1,CTNNB1,MAP3K1,NRAS,MAP2K4,EPHA3,AKT1,BRAF,PIK3CG,PDGFRA
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20200810%WP3981%HOMO SAPIENS	miRNA regulation of prostate cancer signaling pathways	1.655728488767993e-8	1.655728488767993e-8	+1	TP53,PIK3CA,KRAS,CTNNB1,AR,CDKN1B,MTOR,CCND1,CDKN1A
DNA IR-DOUBLE STRAND BREAKS (DSBS) AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20200810%WP3959%HOMO SAPIENS	DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM	2.759260347256556e-8	2.759260347256556e-8	+1	TP53,CDKN2A,ATM,BRCA1,CHEK2,BRCA2,ATR,SMC1A,SMC3
EPITHELIAL TO MESENCHYMAL TRANSITION IN COLORECTAL CANCER%WIKIPATHWAYS_20200810%WP4239%HOMO SAPIENS	Epithelial to mesenchymal transition in colorectal cancer	2.7884443009245648e-8	2.7884443009245648e-8	+1	TP53,PIK3CA,KRAS,PIK3R1,NOTCH1,CTNNB1,CDH1,MAP2K4,AKT1,SMAD4,TGFBR2,SMAD2,EZH2
NEGATIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033673	negative regulation of kinase activity	2.7884443009245648e-8	2.7884443009245648e-8	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,MAPK8IP1
REGULATION OF PROTEIN KINASE B SIGNALING%GOBP%GO:0051896	regulation of protein kinase B signaling	2.9333560477128675e-8	2.9333560477128675e-8	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY	3.251933014196301e-8	3.251933014196301e-8	+1	TP53,ATM,BRCA1,CHEK2,EP300,CDKN1A,ATR
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	ErbB1 downstream signaling	3.318038209016273e-8	3.318038209016273e-8	+1	PIK3CA,KRAS,EGFR,PIK3R1,MAP3K1,NRAS,MAP2K4,AKT1,BRAF,MTOR,PPP2R1A
PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY	PID_ERBB1_DOWNSTREAM_PATHWAY	3.6258592574937096e-8	3.6258592574937096e-8	+1	PIK3CA,KRAS,EGFR,PIK3R1,MAP3K1,NRAS,MAP2K4,AKT1,BRAF,MTOR,PPP2R1A
MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20200810%WP4205%HOMO SAPIENS	MET in type 1 papillary renal cell carcinoma	4.052051779076567e-8	4.052051779076567e-8	+1	PIK3CA,KRAS,PIK3R1,NRAS,AKT1,BRAF,HGF,CDKN1A,PTPN11
SUMO E3 LIGASES SUMOYLATE TARGET PROTEINS%REACTOME DATABASE ID RELEASE 73%3108232	SUMO E3 ligases SUMOylate target proteins	4.173756992426315e-8	4.173756992426315e-8	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
RELATIONSHIP BETWEEN INFLAMMATION, COX-2 AND EGFR%WIKIPATHWAYS_20200810%WP4483%HOMO SAPIENS	Relationship between inflammation, COX-2 and EGFR	4.173756992426315e-8	4.173756992426315e-8	+1	PIK3CA,KRAS,EGFR,NRAS,AKT1,BRAF,PIK3CG
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	positive regulation of cell cycle process	5.012771714886886e-8	5.012771714886886e-8	+1	TP53,EGFR,RB1,NPM1,AKT1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CCND1,CDKN1A,RAD21,EZH2
NEGATIVE REGULATION OF CELL GROWTH%GOBP%GO:0030308	negative regulation of cell growth	5.102339177921491e-8	5.102339177921491e-8	+1	TP53,CDKN2A,RB1,STK11,CDKN1B,WT1,SMAD4,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY	5.4148070056404e-8	5.4148070056404e-8	+1	PIK3CA,PIK3R1,RB1,AKT1,CDKN1B,CCND1,CDKN1A
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	5.840679660486074e-8	5.840679660486074e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
SUMOYLATION%REACTOME DATABASE ID RELEASE 73%2990846	SUMOylation	5.986349738219585e-8	5.986349738219585e-8	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
NOTCH SIGNALING PATHWAY NETPATH%WIKIPATHWAYS_20200810%WP61%HOMO SAPIENS	Notch Signaling Pathway Netpath	6.70992553645446e-8	6.70992553645446e-8	+1	PIK3R1,GATA3,NOTCH1,FBXW7,AKT1,EP300,CCND1,CDKN1A,NCOR1
CELL CYCLE ARREST%GOBP%GO:0007050	cell cycle arrest	6.872651354535973e-8	6.872651354535973e-8	+1	TP53,APC,CDKN2A,RB1,NOTCH1,STK11,ATM,CDKN1B,MTOR,CDKN1A,CDKN2C
BIOCARTA_GSK3_PATHWAY%MSIGDB_C2%BIOCARTA_GSK3_PATHWAY	BIOCARTA_GSK3_PATHWAY	6.872651354535973e-8	6.872651354535973e-8	+1	PIK3CA,APC,PIK3R1,CTNNB1,AKT1,TLR4,CCND1
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	positive regulation of epithelial to mesenchymal transition	7.201991434372458e-8	7.201991434372458e-8	+1	NOTCH1,CTNNB1,MTOR,SMAD4,TGFBR2,SMAD2,AXIN2,EZH2
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION	Validated targets of C-MYC transcriptional repression	7.285770181356385e-8	7.285770181356385e-8	+1	DNMT3A,CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY	PID_MYC_REPRESS_PATHWAY	7.285770181356385e-8	7.285770181356385e-8	+1	DNMT3A,CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:1904029	regulation of cyclin-dependent protein kinase activity	8.374746215848415e-8	8.374746215848415e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20200810%WP51%HOMO SAPIENS	Regulation of Actin Cytoskeleton	9.688559281180966e-8	9.688559281180966e-8	+1	PIK3CA,APC,KRAS,EGFR,PIK3R1,ARHGAP35,NRAS,BRAF,PIK3CG,PDGFRA,FGFR2,FGFR3
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS%MSIGDB_C2%ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	9.688559281180966e-8	9.688559281180966e-8	+1	PIK3CA,PIK3R1,MAP2K4,AKT1,BRAF,PTPN11,MAPK8IP1,EGR3
NEGATIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0006469	negative regulation of protein kinase activity	9.688559281180966e-8	9.688559281180966e-8	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,CDKN1A,PPP2R1A,MAPK8IP1
