Gene	Description	Ranks	Expressions
ECM2	extracellular matrix protein 2, female organ and adipocyte specific 	7.09	3.2
FBN1	fibrillin 1 	7.06	4.01
LAMA3	laminin subunit alpha 3 	7.03	5.87
SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) 	7.01	4.78
EMILIN1	elastin microfibril interfacer 1 	6.98	3.7
EFEMP2	EGF containing fibulin-like extracellular matrix protein 2 	6.98	3.85
TTR	transthyretin 	6.94	4.67
LOXL1	lysyl oxidase like 1 	6.81	3.79
TGM2	transglutaminase 2 	6.79	4.07
SDC3	syndecan 3 	6.72	3.08
CTSK	cathepsin K 	6.69	4.74
COL13A1	collagen, type XIII, alpha 1 	6.69	3.12
PCOLCE	procollagen C-endopeptidase enhancer 	6.68	3.71
LAMB1	laminin subunit beta 1 	6.58	5.24
LAMB2	laminin subunit beta 2 	6.56	5.28
AKT1	v-akt murine thymoma viral oncogene homolog 1 	6.51	6.56
LAMB3	laminin subunit beta 3 	6.5	6.35
FLOT1	flotillin 1 	6.47	7.54
NDNF	neuron-derived neurotrophic factor 	6.29	3.12
P4HA2	prolyl 4-hydroxylase, alpha polypeptide II 	6.28	6.31
NID2	nidogen 2 	6.27	2.89
SDCBP	syndecan binding protein 	6.22	8.77
COLGALT1	collagen beta(1-O)galactosyltransferase 1 	6.21	5.88
DMD	dystrophin 	6.11	2.79
CTSL	cathepsin L 	6.1	5.33
HAPLN1	hyaluronan and proteoglycan link protein 1 	6.03	2.09
KDR	kinase insert domain receptor 	6	3.79
SLC39A8	solute carrier family 39 (zinc transporter), member 8 	5.98	2.8
ADGRA2	adhesion G protein-coupled receptor A2 	5.9	2.89
ST7	suppression of tumorigenicity 7 	5.86	4.3
RECK	reversion-inducing-cysteine-rich protein with kazal motifs 	5.8	2.82
ITGB1	integrin subunit beta 1 	5.79	9.24
THY1	Thy-1 cell surface antigen 	5.76	3.8
P4HA1	prolyl 4-hydroxylase, alpha polypeptide I 	5.75	5.06
PVR	poliovirus receptor 	5.71	4.32
MMP28	matrix metallopeptidase 28 	5.69	3.95
FBLN5	fibulin 5 	5.67	3.26
COL16A1	collagen, type XVI, alpha 1 	5.65	5.12
MMP7	matrix metallopeptidase 7 	5.61	2.76
COL9A2	collagen, type IX, alpha 2 	5.53	3.66
LAMA2	laminin subunit alpha 2 	5.48	2.66
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 	5.47	3.21
NCAM1	neural cell adhesion molecule 1 	5.42	2.48
ILK	integrin linked kinase 	5.33	6.71
VEGFA	vascular endothelial growth factor A 	5.29	7.84
ADAM8	ADAM metallopeptidase domain 8 	5.12	4.28
JAM2	junctional adhesion molecule 2 	5.11	3.73
TLL2	tolloid like 2 	5.03	3.08
BSG	basigin (Ok blood group) 	5.03	6.22
HGF	hepatocyte growth factor (hepapoietin A; scatter factor) 	5.01	1.68
LTBP4	latent transforming growth factor beta binding protein 4 	4.91	5.05
TGFBI	transforming growth factor beta induced 	4.81	6.41
PPIB	peptidylprolyl isomerase B (cyclophilin B) 	4.65	9.9
COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen) 	4.65	2.02
PDGFRB	platelet-derived growth factor receptor, beta polypeptide 	4.63	3.9
MMP19	matrix metallopeptidase 19 	4.62	3.23
F13A1	coagulation factor XIII, A1 polypeptide 	4.62	3.45
GAS6	growth arrest specific 6 	4.57	7.03
PI4KA	phosphatidylinositol 4-kinase, catalytic, alpha 	4.56	5.83
HSP90AA1	heat shock protein 90kDa alpha family class A member 1 	4.54	10.72
MFAP5	microfibrillar associated protein 5 	4.54	2.24
MATN2	matrilin 2 	4.37	5.27
CAPN15	calpain 15 	4.36	4.31
CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	4.31	6
FBLN1	fibulin 1 	4.28	4.62
MMP3	matrix metallopeptidase 3 	4.22	1.87
ACTN1	actinin, alpha 1 	4.19	7.91
TRAPPC4	trafficking protein particle complex 4 	4.09	7.54
APLP1	amyloid beta (A4) precursor-like protein 1 	4.08	2.63
CTSS	cathepsin S 	4.06	4.04
SDC4	syndecan 4 	4.06	8.28
ITGA8	integrin subunit alpha 8 	4.03	2.17
ITGA1	integrin subunit alpha 1 	4.03	1.53
PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha 	4.02	7.29
L1CAM	L1 cell adhesion molecule 	4	2.15
MMP11	matrix metallopeptidase 11 	3.91	3.86
ITGA7	integrin subunit alpha 7 	3.87	3.52
TPSAB1	tryptase alpha/beta 1 	3.83	4.53
THBS1	thrombospondin 1 	3.77	2.55
NRXN1	neurexin 1 	3.75	1.78
COL2A1	collagen, type II, alpha 1 	3.72	2.33
LRP4	LDL receptor related protein 4 	3.71	4.15
P3H1	prolyl 3-hydroxylase 1 	3.69	3.95
GREM1	gremlin 1, DAN family BMP antagonist 	3.65	1.97
DDR2	discoidin domain receptor tyrosine kinase 2 	3.64	2.91
CD81	CD81 molecule 	3.63	8.21
FBLN2	fibulin 2 	3.6	3.33
BGN	biglycan 	3.54	4.1
COLGALT2	collagen beta(1-O)galactosyltransferase 2 	3.53	2.81
NCSTN	nicastrin 	3.53	5.61
CTSD	cathepsin D 	3.42	6.03
CSPG4	chondroitin sulfate proteoglycan 4 	3.38	2.58
COL9A3	collagen, type IX, alpha 3 	3.36	2.82
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 	3.34	5.98
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 	3.34	3.47
CDH1	cadherin 1, type 1 	3.28	9.71
CYP1B1	cytochrome P450 family 1 subfamily B member 1 	3.25	2.79
DDR1	discoidin domain receptor tyrosine kinase 1 	3.21	8.7
FGG	fibrinogen gamma chain 	3.21	2.05
CRK	v-crk avian sarcoma virus CT10 oncogene homolog 	3.2	6.6
PRSS1	protease, serine 1 	3.15	2.41
HPN	hepsin 	3.15	2.9
PLEC	plectin 	3.14	6.51
TGFB3	transforming growth factor beta 3 	3.06	3.99
COL18A1	collagen, type XVIII, alpha 1 	3.02	4.27
P3H2	prolyl 3-hydroxylase 2 	3.01	5.39
QSOX1	quiescin sulfhydryl oxidase 1 	2.94	7.71
PRKACA	protein kinase, cAMP-dependent, alpha catalytic subunit 	2.92	5.02
CAPN2	calpain 2, (m/II) large subunit 	2.78	4.32
FGF2	fibroblast growth factor 2 (basic) 	2.6	1.6
FGB	fibrinogen beta chain 	2.58	2.22
FGA	fibrinogen alpha chain 	2.56	1.53
ITGA5	integrin subunit alpha 5 	2.51	4.02
P4HB	prolyl 4-hydroxylase, beta polypeptide 	2.47	10.26
ANGPTL3	angiopoietin like 3 	2.44	1.78
BMP1	bone morphogenetic protein 1 	2.44	2.88
MMP12	matrix metallopeptidase 12 	2.42	2.71
ADAM9	ADAM metallopeptidase domain 9 	2.36	8.32
MMP10	matrix metallopeptidase 10 	2.25	2.15
PTK2B	protein tyrosine kinase 2 beta 	2.22	4.76
COMP	cartilage oligomeric matrix protein 	2.17	2.03
FLRT2	fibronectin leucine rich transmembrane protein 2 	2.16	3.7
IGF1	insulin like growth factor 1 	2.13	2.04
CTRB2	chymotrypsinogen B2 	2.07	3.38
CD14	CD14 molecule 	1.95	4.67
SPP1	secreted phosphoprotein 1 	1.92	2.2
COL14A1	collagen, type XIV, alpha 1 	1.82	2.98
BMP10	bone morphogenetic protein 10 	1.77	2.83
HAS2	hyaluronan synthase 2 	1.72	1.55
HPSE2	heparanase 2 (inactive) 	1.71	2.36
SULF1	sulfatase 1 	1.62	2.78
C6ORF15	chromosome 6 open reading frame 15 	1.6	3.93
COL9A1	collagen, type IX, alpha 1 	1.57	2.61
ELN	elastin 	1.54	3.94
ICAM3	intercellular adhesion molecule 3 	1.45	6.11
FURIN	furin (paired basic amino acid cleaving enzyme) 	1.41	5.08
ATP7A	ATPase, Cu++ transporting, alpha polypeptide 	1.34	5.25
KLKB1	kallikrein B1 	1.34	3.17
EDIL3	EGF-like repeats and discoidin I-like domains 3 	1.33	2.29
P3H3	prolyl 3-hydroxylase 3 	1.33	3.07
ICAM1	intercellular adhesion molecule 1 	1.31	4.11
ITGA10	integrin subunit alpha 10 	1.3	3.63
TLN1	talin 1 	1.25	3.9
ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) 	1.19	1.81
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 	1.05	2.54
LTBP3	latent transforming growth factor beta binding protein 3 	1.04	5.46
ICAM5	intercellular adhesion molecule 5 	1	2.52
MMP13	matrix metallopeptidase 13 	0.92	1.72
MATN3	matrilin 3 	0.81	1.4
TNN	tenascin N 	0.81	2.01
EFEMP1	EGF containing fibulin-like extracellular matrix protein 1 	0.77	2.87
COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase 	0.7	2.59
MMP9	matrix metallopeptidase 9 	0.68	3.29
CRTAP	cartilage associated protein 	0.48	4.57
VCL	vinculin 	0.42	8.24
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 	0.42	1.69
COL17A1	collagen, type XVII, alpha 1 	0.35	5.41
SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 	0.16	2.48
MFGE8	milk fat globule-EGF factor 8 protein 	0.11	4.15
PTPRS	protein tyrosine phosphatase, receptor type, S 	0.09	3.23
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 	0.06	6.31
RAMP2	receptor (G protein-coupled) activity modifying protein 2 	-0	3.22
CMA1	chymase 1, mast cell 	-0.01	2.11
ITGAX	integrin subunit alpha X 	-0.04	2.57
RHOA	ras homolog family member A 	-0.11	10.8
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 	-0.15	2.51
ITGAM	integrin subunit alpha M 	-0.17	3.06
THBS2	thrombospondin 2 	-0.23	3.55
TNS4	tensin 4 	-0.27	3.88
F11R	F11 receptor 	-0.27	4.58
RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) 	-0.31	10.63
TEX14	testis expressed 14 	-0.38	1.82
RAP1A	RAP1A, member of RAS oncogene family 	-0.48	8.79
COL4A4	collagen, type IV, alpha 4 	-0.5	1.7
TLL1	tolloid like 1 	-0.51	1.55
MMP8	matrix metallopeptidase 8 	-0.52	2.05
CCL5	chemokine (C-C motif) ligand 5 	-0.56	4.97
MAPK3	mitogen-activated protein kinase 3 	-0.64	7.16
MMP27	matrix metallopeptidase 27 	-0.65	2.38
CSF1R	colony stimulating factor 1 receptor 	-0.67	4.07
ELANE	elastase, neutrophil expressed 	-0.7	1.94
PCOLCE2	procollagen C-endopeptidase enhancer 2 	-0.71	1.8
ADAM15	ADAM metallopeptidase domain 15 	-0.71	3.92
ITGA9	integrin subunit alpha 9 	-0.72	2.68
CYR61	cysteine-rich, angiogenic inducer, 61 	-0.74	2.94
MMP26	matrix metallopeptidase 26 	-0.74	2.29
ITGAL	integrin subunit alpha L 	-0.77	3.73
CASP3	caspase 3 	-0.78	6.56
ADAM12	ADAM metallopeptidase domain 12 	-0.78	1.65
CAPNS1	calpain, small subunit 1 	-0.82	9.71
LTBP2	latent transforming growth factor beta binding protein 2 	-0.87	4.76
IBSP	integrin-binding sialoprotein 	-0.87	3.42
CAPN5	calpain 5 	-0.99	4.99
ITGA4	integrin subunit alpha 4 	-1.04	1.58
MMP17	matrix metallopeptidase 17 	-1.05	3.62
CAPG	capping protein (actin filament), gelsolin-like 	-1.09	7.9
COL19A1	collagen, type XIX, alpha 1 	-1.09	1.97
NPHS1	nephrosis 1, congenital, Finnish type (nephrin) 	-1.13	1.88
TNXB	tenascin XB 	-1.13	4.06
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 	-1.14	1.84
TMPRSS6	transmembrane protease, serine 6 	-1.14	5.16
NCAN	neurocan 	-1.17	2.35
COL11A2	collagen, type XI, alpha 2 	-1.2	3.66
LAMA5	laminin subunit alpha 5 	-1.33	6.28
RAPGEF1	Rap guanine nucleotide exchange factor 1 	-1.4	3.56
ITGB6	integrin subunit beta 6 	-1.41	2.79
KLK2	kallikrein related peptidase 2 	-1.43	3.36
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8 	-1.46	2.34
LAMC3	laminin subunit gamma 3 	-1.49	3.9
TNR	tenascin R 	-1.51	1.99
MMP20	matrix metallopeptidase 20 	-1.53	1.73
MYO1E	myosin IE 	-1.56	5.18
CAPN11	calpain 11 	-1.6	2.54
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) 	-1.68	10.46
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 	-1.7	4.02
ITGB3	integrin subunit beta 3 	-1.74	1.96
FGF23	fibroblast growth factor 23 	-1.76	2.61
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 	-1.78	4.42
MUSK	muscle, skeletal, receptor tyrosine kinase 	-1.83	2.08
CAPN10	calpain 10 	-1.86	4.41
TNC	tenascin C 	-1.92	2.02
SPINT1	serine peptidase inhibitor, Kunitz type 1 	-1.94	8.65
ITGB5	integrin subunit beta 5 	-1.95	7.36
COL8A1	collagen, type VIII, alpha 1 	-1.97	1.49
CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8 	-2.06	1.57
COL21A1	collagen, type XXI, alpha 1 	-2.1	3.46
DMP1	dentin matrix acidic phosphoprotein 1 	-2.12	1.6
LCP1	lymphocyte cytosolic protein 1 (L-plastin) 	-2.16	4.97
ADAM19	ADAM metallopeptidase domain 19 	-2.22	3.6
WT1	Wilms tumor 1 	-2.24	1.8
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7 	-2.26	2.27
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20 	-2.27	1.69
ABI3BP	ABI family member 3 binding protein 	-2.3	1.87
PLG	plasminogen 	-2.47	2.1
TGFBR1	transforming growth factor beta receptor I 	-2.53	2.17
PSEN1	presenilin 1 	-2.54	4.55
BCAN	brevican 	-2.62	2.91
TGFB2	transforming growth factor beta 2 	-2.66	1.95
LOX	lysyl oxidase 	-2.67	2.31
GDF5	growth differentiation factor 5 	-2.71	3.69
SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3 	-2.73	1.77
SDC1	syndecan 1 	-2.8	9.16
MATN1	matrilin 1, cartilage matrix protein 	-2.8	2.78
CASP8	caspase 8 	-2.81	2.74
MMP14	matrix metallopeptidase 14 	-2.87	3.9
ITGAE	integrin subunit alpha E 	-2.91	7.62
CTSG	cathepsin G 	-2.94	3.87
PTPN11	protein tyrosine phosphatase, non-receptor type 11 	-2.96	2.59
GSN	gelsolin 	-3	3.64
ITGA2B	integrin subunit alpha 2b 	-3.03	2.21
MMP24	matrix metallopeptidase 24 	-3.1	2.34
HAS1	hyaluronan synthase 1 	-3.16	3.16
KLK5	kallikrein related peptidase 5 	-3.21	4.81
PI4KB	phosphatidylinositol 4-kinase, catalytic, beta 	-3.31	4.23
DSPP	dentin sialophosphoprotein 	-3.31	2.24
MATN4	matrilin 4 	-3.32	2.86
ITGA2	integrin subunit alpha 2 	-3.36	4.89
COL10A1	collagen, type X, alpha 1 	-3.39	2.74
MMP16	matrix metallopeptidase 16 	-3.44	1.71
CD47	CD47 molecule 	-3.47	8.35
COL11A1	collagen, type XI, alpha 1 	-3.54	1.96
ACAN	aggrecan 	-3.55	3.46
CAPN7	calpain 7 	-3.6	4.48
TGFB1	transforming growth factor beta 1 	-3.69	4.41
CAPN1	calpain 1, (mu/I) large subunit 	-3.84	7.44
SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2 	-3.86	3.27
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1) 	-3.88	7.6
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha 	-3.9	4.07
MMP25	matrix metallopeptidase 25 	-3.99	3.33
PLAU	plasminogen activator, urokinase 	-4.07	2.88
CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase 	-4.32	1.99
ITGB2	integrin subunit beta 2 	-4.39	4.01
CSF1	colony stimulating factor 1 (macrophage) 	-4.53	3.47
ADAM10	ADAM metallopeptidase domain 10 	-4.57	4.04
SH3PXD2A	SH3 and PX domains 2A 	-4.58	1.94
COL7A1	collagen, type VII, alpha 1 	-4.72	6.11
MFAP3	microfibrillar associated protein 3 	-4.78	2.96
IGF1R	insulin like growth factor 1 receptor 	-4.79	3.4
COL5A3	collagen, type V, alpha 3 	-5.01	4.49
ADAM17	ADAM metallopeptidase domain 17 	-5.31	6.34
FGFR3	fibroblast growth factor receptor 3 	-5.33	2.27
CTSV	cathepsin V 	-5.59	7.54
KLK7	kallikrein related peptidase 7 	-5.62	7.96
PDGFB	platelet-derived growth factor beta polypeptide 	-5.65	2.15
CTSB	cathepsin B 	-5.68	6.71
CD44	CD44 molecule (Indian blood group) 	-5.75	5.06
SPINK5	serine peptidase inhibitor, Kazal type 5 	-5.81	12.25
ITGB7	integrin subunit beta 7 	-5.92	4.65
CRKL	v-crk avian sarcoma virus CT10 oncogene homolog-like 	-5.94	7.15
VAV3	vav guanine nucleotide exchange factor 3 	-6	5.8
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) 	-6.05	6.99
GPM6B	glycoprotein M6B 	-6.25	3.61
ADAMTSL4	ADAMTS like 4 	-6.37	3.59
COL8A2	collagen, type VIII, alpha 2 	-6.51	2.8
CAST	calpastatin 	-6.56	8.98
HPSE	heparanase 	-6.68	6.94
TGM1	transglutaminase 1 	-6.68	9.25
ITGB8	integrin subunit beta 8 	-6.8	3.16
TIMP2	TIMP metallopeptidase inhibitor 2 	-6.9	6.68
RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1 	-6.97	5.29
THSD4	thrombospondin type 1 domain containing 4 	-7.01	3.51
TGM3	transglutaminase 3 	-7.08	11.13
GFOD2	glucose-fructose oxidoreductase domain containing 2 	-7.4	5.29
GAB1	GRB2 associated binding protein 1 	-7.51	2.62
SPHK1	sphingosine kinase 1 	-7.54	4.27
BMP7	bone morphogenetic protein 7 	-7.72	4.21
MAPK1	mitogen-activated protein kinase 1 	-7.81	4.42
ADAMTS10			NaN
ADAMTS14			NaN
ADAMTS15			NaN
ADAMTS16			NaN
ADAMTS17			NaN
ADAMTS18			NaN
ADAMTS19			NaN
ADAMTS4			NaN
BCAR1			NaN
CAPN12			NaN
CAPN13			NaN
CAPN14			NaN
CAPN3			NaN
CAPN8			NaN
CAPNS2			NaN
CCDC80			NaN
CCN1			NaN
COL12A1			NaN
COL20A1			NaN
COL22A1			NaN
COL23A1			NaN
COL24A1			NaN
COL25A1			NaN
COL26A1			NaN
COL27A1			NaN
COL28A1			NaN
COL6A5			NaN
COL6A6			NaN
CTRB1			NaN
DOCK7			NaN
EXOC8			NaN
FBN3			NaN
FGF19			NaN
HAS3			NaN
HEL-S-45			NaN
HEL-S-78P			NaN
HMCN1			NaN
HMGB1			NaN
HRNR			NaN
IGSF8			NaN
ITGA11			NaN
ITGA3			NaN
ITGAD			NaN
KIF9			NaN
KLK4			NaN
LAMA1			NaN
LOXL3			NaN
LOXL4			NaN
MANSC4			NaN
MARCOL			NaN
MDK			NaN
MFAP2			NaN
MIA			NaN
MMP21			NaN
MMP23B			NaN
MPV17			NaN
NOXO1			NaN
NPNT			NaN
NTN4			NaN
OPTC			NaN
OTOL1			NaN
P4HA3			NaN
PHYKPL			NaN
PRSS2			NaN
RAP1B			NaN
ROCK1			NaN
SCUBE1			NaN
SCUBE3			NaN
SCX			NaN
SH3PXD2B			NaN
SMOC1			NaN
SMOC2			NaN
SULF2			NaN
VIT			NaN
VTN			NaN
WASHC1			NaN
XB			NaN
