Gene	Description	Ranks	Rank/Score
ITGAL		-0.77	-0.77
ADAM12		-0.78	-0.78
CAPNS1		-0.82	-0.82
IBSP		-0.87	-0.87
NTNG1		-1.01	-1.01
ITGA4		-1.04	-1.04
MMP17		-1.05	-1.05
CAPG		-1.09	-1.09
COL19A1		-1.09	-1.09
NPHS1		-1.13	-1.13
TNXB		-1.13	-1.13
ADAMTS6		-1.14	-1.14
TMPRSS6		-1.14	-1.14
NCAN		-1.17	-1.17
LIPC		-1.2	-1.2
COL11A2		-1.2	-1.2
ADAMTSL2		-1.24	-1.24
LAMA5		-1.33	-1.33
PRKACG		-1.36	-1.36
CETP		-1.41	-1.41
ITGB6		-1.41	-1.41
KLK2		-1.43	-1.43
ADAMTS8		-1.46	-1.46
LAMC3		-1.49	-1.49
TNR		-1.51	-1.51
MMP20		-1.53	-1.53
MYO1E		-1.56	-1.56
APOM		-1.61	-1.61
PLA2G5		-1.62	-1.62
ADAMTS13		-1.7	-1.7
ITGB3		-1.74	-1.74
SPOCK2		-1.78	-1.78
TNC		-1.92	-1.92
ITGB5		-1.95	-1.95
VWF		-1.96	-1.96
COL8A1		-1.97	-1.97
DMP1		-2.12	-2.12
LCP1		-2.16	-2.16
ADAM19		-2.22	-2.22
WT1		-2.24	-2.24
ADAMTS7		-2.26	-2.26
ADAMTS20		-2.27	-2.27
PLG		-2.47	-2.47
TGFBR1		-2.53	-2.53
BCAN		-2.62	-2.62
TGFB2		-2.66	-2.66
LOX		-2.67	-2.67
MATN1		-2.8	-2.8
MMP14		-2.87	-2.87
ITGAE		-2.91	-2.91
ABCA5		-2.94	-2.94
CTSG		-2.94	-2.94
GSN		-3	-3
ITGA2B		-3.03	-3.03
MMP24		-3.1	-3.1
HAS1		-3.16	-3.16
APOA2		-3.17	-3.17
KLK5		-3.21	-3.21
DSPP		-3.31	-3.31
MATN4		-3.32	-3.32
ABCA7		-3.34	-3.34
ITGA2		-3.36	-3.36
COL10A1		-3.39	-3.39
MMP16		-3.44	-3.44
CD47		-3.47	-3.47
COL11A1		-3.54	-3.54
ABCA1		-3.55	-3.55
TGFB1		-3.69	-3.69
PLA2G3		-3.77	-3.77
CAPN1		-3.84	-3.84
SERPINF2		-3.86	-3.86
ALB		-3.98	-3.98
MMP25		-3.99	-3.99
ITGB2		-4.39	-4.39
ADAM10		-4.57	-4.57
SH3PXD2A		-4.58	-4.58
LAMB4		-4.6	-4.6
COL7A1		-4.72	-4.72
COL5A3		-5.01	-5.01
CTSV		-5.59	-5.59
KLK7		-5.62	-5.62
PDGFB		-5.65	-5.65
CD44		-5.75	-5.75
SPINK5		-5.81	-5.81
ITGB7		-5.92	-5.92
GPM6B		-6.25	-6.25
ADAMTSL4		-6.37	-6.37
COL8A2		-6.51	-6.51
ITGB8		-6.8	-6.8
TIMP2		-6.9	-6.9
THSD4		-7.01	-7.01
GFOD2		-7.4	-7.4
ADAMTS10			NaN
ADAMTS14			NaN
ADAMTS15			NaN
ADAMTS16			NaN
ADAMTS17			NaN
ADAMTS18			NaN
ADAMTS19			NaN
ADAMTS4			NaN
ADAMTSL1			NaN
APOA5			NaN
APOC2			NaN
APOC4			NaN
CAPNS2			NaN
COL12A1			NaN
COL22A1			NaN
COL23A1			NaN
COL24A1			NaN
COL27A1			NaN
COL28A1			NaN
CTRB1			NaN
DGAT1			NaN
EXOC8			NaN
GPIHBP1			NaN
HAS3			NaN
ITGA11			NaN
ITGA3			NaN
ITGAD			NaN
KIF9			NaN
KLK4			NaN
LAMA1			NaN
LOXL3			NaN
LOXL4			NaN
MFAP2			NaN
MFSD2A			NaN
MIA			NaN
MMP21			NaN
MMP23B			NaN
MPV17			NaN
NOXO1			NaN
NPNT			NaN
NTN4			NaN
NTNG2			NaN
OPTC			NaN
OTOL1			NaN
PAPLN			NaN
PRSS2			NaN
SCUBE1			NaN
SCUBE3			NaN
SCX			NaN
SH3PXD2B			NaN
SULF2			NaN
VIT			NaN
VTN			NaN
WASH1			NaN
ZDHHC8			NaN
