GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015980	energy derivation by oxidation of organic compounds	1.9235418188102804e-15	1.9235418188102804e-15	+1	PRELID1,SCO2,MT-ND1,MT-CO1,BID,SOD2,NDUFS7,COX6B1,NDUFA11,RHOA,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,NDUFA13,BLOC1S1,OAS1,NDUFB11,MT-ND3,CYC1,NDUFB10,SDHB,OXA1L,IDH3G,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0031347	regulation of defense response	5.250761076945146e-13	5.250761076945146e-13	+1	S100A9,S100A8,LGALS2,FCN1,CD14,TYROBP,LGALS1,GPX1,GRN,GSTP1,CTSS,CYBA,PYCARD,SPI1,S100A12,MNDA,BST1,NEAT1,LILRA5,CEBPB,KLF4,HLA-DRB1,FGR,CCL3,IL1B,FGL2,HCK,NFKBIA,TMSB4X,ISG15,LGALS9,NCF1,VAMP8,ZFP36,GPX4,ARRB2,SAMHD1,NINJ1,ZYX,CASP1,TNFRSF1B,PLSCR1,CASP4,HMGB2,IFI35,OAS1,PARK7
GO:0050776	regulation of immune response	5.939152090509715e-13	5.939152090509715e-13	+1	FCN1,CD14,TYROBP,CFD,GPX1,GRN,FCER1G,CTSS,LGALS3,CFP,CYBA,FPR1,PYCARD,SPI1,TNFSF13B,MNDA,CTSH,HLA-DRA,CD33,HLA-DRB1,FGR,IL1B,FGL2,HCK,SLC11A1,NFKBIA,FCGR2A,FKBP1A,STXBP2,ISG15,C5AR1,LGALS9,NCF1,VAMP8,HLA-DPB1,THEMIS2,ARRB2,SAMHD1,NINJ1,ITGB2,CASP1,HLA-DMB,TNFRSF1B,PLSCR1,SPG21,GRB2,HMGB2,IFI35,TGFB1,OAS1,PHPT1,PARK7,WAS
GO:0052547	regulation of peptidase activity	2.8377209735864036e-12	2.8377209735864036e-12	+1	S100A9,S100A8,CST3,GPX1,GRN,SERPINA1,PYCARD,GAPDH,CTSB,IFI6,CTSH,PLAUR,KLF4,CTSD,APLP2,TIMP1,PRELID1,SERPINB1,LGALS9,BID,CARD16,ARRB2,CSTB,TNFSF10,CASP1,RHOA,SERPINB6,PRDX5,NDUFA13,CAST,FIS1,PSME2,PARK7,LAMTOR5
GO:0007005	mitochondrion organization	4.57416003311409e-12	4.57416003311409e-12	+1	TYMP,GPX1,GABARAP,PYCARD,TSPO,IFI6,RAB32,PLAUR,PRELID1,SCO2,MT-ND1,BID,BNIP3L,SOD2,TIMM13,ARRB2,SLC25A5,NDUFS7,NDUFA11,TNFSF10,SLC25A6,HIGD2A,NDUFB1,UQCRFS1,ATG3,NDUFA13,NDUFB11,UBL5,NDUFB10,COX17,OXA1L,NDUFA2,NDUFB7,FIS1,PARK7,ALKBH7,JTB,NDUFA3,NDUFS8
GO:0052548	regulation of endopeptidase activity	7.591860842911855e-12	7.591860842911855e-12	+1	S100A9,S100A8,CST3,GPX1,SERPINA1,PYCARD,GAPDH,IFI6,CTSH,PLAUR,KLF4,CTSD,TIMP1,PRELID1,SERPINB1,LGALS9,BID,CARD16,ARRB2,TNFSF10,CASP1,RHOA,SERPINB6,PRDX5,NDUFA13,CAST,FIS1,PSME2,PARK7,LAMTOR5
GO:0050727	regulation of inflammatory response	8.460923977429588e-12	8.460923977429588e-12	+1	S100A9,S100A8,LGALS2,LGALS1,GPX1,GRN,GSTP1,PYCARD,S100A12,BST1,NEAT1,LILRA5,CEBPB,KLF4,HLA-DRB1,FGR,CCL3,IL1B,HCK,NFKBIA,TMSB4X,NCF1,VAMP8,ZFP36,GPX4,NINJ1,ZYX,CASP1,TNFRSF1B,CASP4,IFI35,PARK7
GO:0030162	regulation of proteolysis	1.2610286417148434e-11	1.2610286417148434e-11	+1	S100A9,S100A8,CST3,GPX1,GRN,SERPINA1,GABARAP,PYCARD,GAPDH,CTSB,IFI6,CTSH,ANXA2,PLAUR,KLF4,CTSZ,IL1B,S100A10,CTSD,APLP2,TIMP1,PRELID1,SERPINB1,LGALS9,BID,CARD16,ARRB2,CSTB,TNFSF10,CASP1,RHOA,SDCBP,TNFRSF1B,SERPINB6,PRDX5,NDUFA13,CAST,FIS1,NEDD8,PSME2,PARK7,RBX1,AURKAIP1,LAMTOR5
GO:0032103	positive regulation of response to external stimulus	1.3969962189593975e-11	1.3969962189593975e-11	+1	S100A9,S100A8,LGALS2,FCN1,CD14,TYROBP,AIF1,LGALS1,GRN,CTSS,CYBA,PYCARD,SPI1,RAC1,S100A12,MNDA,NEAT1,LILRA5,IL8,LY86,CEBPB,CCL3,IL1B,HCK,NFKBIA,TMSB4X,C5AR1,LGALS9,VAMP8,ARRB2,NINJ1,CASP1,PLSCR1,CASP4,HMGB2,IFI35,OAS1,FLNA,PARK7
GO:0045087	innate immune response	1.4536888112580308e-11	1.4536888112580308e-11	+1	S100A9,S100A8,FCN1,CD14,TYROBP,CFD,AIF1,GRN,FCER1G,CTSS,LGALS3,CFP,NCF2,CYBA,PYCARD,SPI1,S100A12,IFITM3,MNDA,APOBEC3A,GAPDH,IFI6,LILRA5,LY86,VIM,FGR,MSRB1,CCL3,HCK,SLC11A1,MPEG1,NFKBIA,CNPY3,RNASE6,STXBP2,ISG15,IFNGR2,CYBB,LGALS9,NCF1,HLA-DPA1,ARRB2,SAMHD1,NINJ1,ZYX,BST2,CASP1,PLSCR1,CASP4,HMGB2,IFI35,OAS1,WAS
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	1.5215497464412983e-11	1.5215497464412983e-11	+1	FCER1G,CTSS,IFI30,PYCARD,HLA-DRA,HLA-DRB1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:0019882	antigen processing and presentation	2.854714334982484e-11	2.854714334982484e-11	+1	FCER1G,CTSS,CD68,IFI30,PYCARD,CTSH,HLA-DRA,RAB32,HLA-DRB1,FGL2,SLC11A1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB,WAS
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	6.17655408182275e-11	6.17655408182275e-11	+1	FCER1G,CTSS,IFI30,PYCARD,HLA-DRA,HLA-DRB1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	7.68595906159743e-11	7.68595906159743e-11	+1	FCER1G,CTSS,IFI30,HLA-DRA,HLA-DRB1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:0034097	response to cytokine	9.696374964107085e-11	9.696374964107085e-11	+1	CD14,AIF1,GSTP1,FCER1G,CSF3R,CYBA,PYCARD,SPI1,TNFSF13B,IFITM3,MNDA,GAPDH,LILRA5,IL8,CEBPB,KLF4,VIM,CCL3,IL1B,HCK,SLC11A1,TIMP1,NFKBIA,TMSB4X,STXBP2,ISG15,IFNGR2,ASAH1,LGALS9,HLA-DPA1,CARD16,ZFP36,SLC25A5,MT2A,SAMHD1,ZYX,BST2,CASP1,RHOA,TNFRSF1B,YBX1,PLSCR1,CASP4,NDUFA13,DUSP1,MCL1,OAS1,XAF1,WAS
GO:0009144	purine nucleoside triphosphate metabolic process	1.383130320216213e-10	1.383130320216213e-10	+1	TSPO,MT-ND1,TMSB4X,ALDOA,NDUFS7,SAMHD1,NDUFA11,RHOA,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,FIS1,NDUFA3,NDUFS8
GO:0001817	regulation of cytokine production	1.4800916567039795e-10	1.4800916567039795e-10	+1	FCN1,CD14,TYROBP,AIF1,GSTP1,FCER1G,CYBA,PYCARD,TSPO,RAC1,MNDA,GAPDH,LILRA5,CD33,SRGN,CEBPB,KLF4,HLA-DRB1,FGR,CCL3,IL1B,SLC11A1,TMSB4X,ISG15,C5AR1,CYBB,SERPINB1,LGALS9,HLA-DPA1,CARD16,HLA-DPB1,ZFP36,ARRB2,BST2,CASP1,POU2F2,TNFRSF1B,HMGB2,TGFB1,OAS1,PARK7,ATF4,LAMTOR5
GO:0001816	cytokine production	1.8631262693603906e-10	1.8631262693603906e-10	+1	FCN1,CD14,TYROBP,AIF1,GSTP1,FCER1G,CYBA,PYCARD,TSPO,RAC1,MNDA,GAPDH,LILRA5,CD33,SRGN,CEBPB,KLF4,HLA-DRB1,FGR,CCL3,IL1B,SLC11A1,TMSB4X,ISG15,C5AR1,CYBB,SERPINB1,LGALS9,HLA-DPA1,CARD16,HLA-DPB1,ZFP36,ARRB2,BST2,CASP1,POU2F2,TNFRSF1B,HMGB2,TGFB1,OAS1,PARK7,ATF4,LAMTOR5
GO:0006754	ATP biosynthetic process	2.2423415979562513e-10	2.2423415979562513e-10	+1	MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0046034	ATP metabolic process	2.6760034727629907e-10	2.6760034727629907e-10	+1	TSPO,MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,FIS1,NDUFA3,NDUFS8
GO:0015986	proton motive force-driven ATP synthesis	2.679581197802648e-10	2.679581197802648e-10	+1	MT-ND1,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0051050	positive regulation of transport	3.0205647450827623e-10	3.0205647450827623e-10	+1	S100A8,FCN1,CD14,FCER1G,CTSS,LGALS3,OAZ1,CFP,CYBA,PYCARD,TSPO,LILRA5,CD33,ANXA2,CEBPB,HLA-DRB1,FGR,CCL3,IL1B,S100A10,SLC11A1,PRELID1,NFKBIA,ACTB,TMSB4X,IFNGR2,GLRX,VAMP8,GSTO1,GNAI2,CD63,ARRB2,SERP1,GLUL,OAZ2,ITGB2,SDCBP,PPT1,SNF8,UBL5,FLNA,COX17,FIS1,PARK7,ATF4,CALM2,CHMP2A,MSN
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	4.945483798036645e-10	4.945483798036645e-10	+1	MT-ND1,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0051336	regulation of hydrolase activity	4.945483798036645e-10	4.945483798036645e-10	+1	S100A9,S100A8,CST3,GPX1,GRN,LGALS3,PSAP,SERPINA1,PYCARD,GAPDH,CTSB,IFI6,CTSH,CD33,RGS2,PLAUR,KLF4,CCL3,S100A10,CTSD,APLP2,TIMP1,PRELID1,FKBP1A,C5AR1,SERPINB1,LGALS9,BID,CARD16,RHOG,GNAI2,ARRB2,CSTB,TNFSF10,CASP1,RHOA,SERPINB6,PRDX5,NDUFA13,HMGB2,PPT1,GNAS,OAS1,CAST,FIS1,PSME2,PARK7,CALM2,LAMTOR5
GO:0050729	positive regulation of inflammatory response	5.009533952271879e-10	5.009533952271879e-10	+1	S100A9,S100A8,LGALS2,LGALS1,GRN,PYCARD,S100A12,NEAT1,LILRA5,CEBPB,CCL3,IL1B,NFKBIA,VAMP8,NINJ1,CASP1,CASP4,IFI35,PARK7
GO:0009205	purine ribonucleoside triphosphate metabolic process	5.022978517725706e-10	5.022978517725706e-10	+1	TSPO,MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,RHOA,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,FIS1,NDUFA3,NDUFS8
GO:0050865	regulation of cell activation	6.21477941185427e-10	6.21477941185427e-10	+1	TYROBP,AIF1,LST1,LGALS1,GRN,FCER1G,LGALS3,PYCARD,SPI1,TNFSF13B,MNDA,BST1,LILRA5,HLA-DRA,CD33,CEBPB,HLA-DRB1,FGR,CCL3,IL1B,FGL2,PRELID1,ACTB,HLA-DRB5,STXBP2,HLA-DMA,LGALS9,JUND,VAMP8,HLA-DPA1,BID,HLA-DPB1,THEMIS2,ITGB2,RHOA,HLA-DMB,TNFRSF1B,PLSCR1,TGFB1,ID2,FLNA
GO:0031349	positive regulation of defense response	6.905716631210961e-10	6.905716631210961e-10	+1	S100A9,S100A8,LGALS2,FCN1,CD14,TYROBP,LGALS1,GRN,CTSS,CYBA,PYCARD,SPI1,S100A12,MNDA,NEAT1,LILRA5,CEBPB,CCL3,IL1B,HCK,NFKBIA,VAMP8,ARRB2,NINJ1,CASP1,PLSCR1,CASP4,HMGB2,IFI35,OAS1,PARK7
GO:0009141	nucleoside triphosphate metabolic process	7.341283528078232e-10	7.341283528078232e-10	+1	TSPO,MT-ND1,TMSB4X,ALDOA,NDUFS7,SAMHD1,NDUFA11,RHOA,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,FIS1,NDUFA3,NDUFS8
GO:0009617	response to bacterium	7.644225761950268e-10	7.644225761950268e-10	+1	S100A9,S100A8,CD14,LYZ,CFD,GPX1,GRN,GSTP1,FCER1G,CD68,CFP,CYBA,PYCARD,SPI1,TSPO,S100A12,IL8,LY86,CEBPB,VIM,HLA-DRB1,FGR,CCL3,IL1B,HCK,SLC11A1,MPEG1,NFKBIA,RNASE6,ISG15,C5AR1,LGALS9,JUND,CARD16,ZFP36,SOD2,CASP1,RHOA,TNFRSF1B,CASP4,HMGB2,SNX3,OAS1
GO:2000116	regulation of cysteine-type endopeptidase activity	7.696484868979561e-10	7.696484868979561e-10	+1	S100A9,S100A8,CST3,GPX1,PYCARD,IFI6,CTSH,PLAUR,KLF4,CTSD,LGALS9,BID,CARD16,ARRB2,TNFSF10,CASP1,RHOA,PRDX5,NDUFA13,CAST,FIS1,PARK7,LAMTOR5
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	8.335951049716631e-10	8.335951049716631e-10	+1	MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0009199	ribonucleoside triphosphate metabolic process	9.397791144705156e-10	9.397791144705156e-10	+1	TSPO,MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,RHOA,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,FIS1,NDUFA3,NDUFS8
GO:0009145	purine nucleoside triphosphate biosynthetic process	9.397791144705156e-10	9.397791144705156e-10	+1	MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0009201	ribonucleoside triphosphate biosynthetic process	1.7804032255531286e-9	1.7804032255531286e-9	+1	MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0002478	antigen processing and presentation of exogenous peptide antigen	1.791726080910944e-9	1.791726080910944e-9	+1	FCER1G,CTSS,IFI30,HLA-DRA,HLA-DRB1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:1902600	proton transmembrane transport	1.980682326363707e-9	1.980682326363707e-9	+1	ATP6V0B,SLC11A1,TMSB4X,ATP6V1F,MT-CO1,ATP6V0D1,SLC25A5,NDUFS7,COX6B1,COX8A,UQCRFS1,UQCRC1,COX4I1,COX5B,CYC1,COX17,COX5A,UQCR10,PARK7
GO:0048002	antigen processing and presentation of peptide antigen	2.05570790727233e-9	2.05570790727233e-9	+1	FCER1G,CTSS,IFI30,PYCARD,HLA-DRA,HLA-DRB1,SLC11A1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	2.2212681218979424e-9	2.2212681218979424e-9	+1	S100A9,S100A8,GPX1,PYCARD,IFI6,CTSH,PLAUR,KLF4,CTSD,LGALS9,BID,CARD16,ARRB2,TNFSF10,CASP1,RHOA,PRDX5,NDUFA13,FIS1,PARK7,LAMTOR5
GO:0002694	regulation of leukocyte activation	2.7130954034137283e-9	2.7130954034137283e-9	+1	TYROBP,AIF1,LST1,LGALS1,GRN,LGALS3,PYCARD,SPI1,TNFSF13B,MNDA,BST1,HLA-DRA,CD33,CEBPB,HLA-DRB1,FGR,CCL3,IL1B,FGL2,PRELID1,ACTB,HLA-DRB5,STXBP2,HLA-DMA,LGALS9,JUND,VAMP8,HLA-DPA1,BID,HLA-DPB1,THEMIS2,ITGB2,RHOA,HLA-DMB,TNFRSF1B,PLSCR1,TGFB1,ID2
GO:0002237	response to molecule of bacterial origin	3.6807943828520316e-9	3.6807943828520316e-9	+1	S100A9,S100A8,CD14,GSTP1,CD68,PYCARD,SPI1,TSPO,IL8,LY86,CEBPB,VIM,CCL3,IL1B,HCK,SLC11A1,NFKBIA,C5AR1,LGALS9,JUND,CARD16,ZFP36,SOD2,CASP1,RHOA,TNFRSF1B,HMGB2
GO:0032496	response to lipopolysaccharide	5.5743825908740856e-9	5.5743825908740856e-9	+1	S100A9,S100A8,CD14,GSTP1,CD68,PYCARD,SPI1,TSPO,IL8,LY86,CEBPB,VIM,CCL3,IL1B,HCK,SLC11A1,NFKBIA,LGALS9,JUND,CARD16,ZFP36,SOD2,CASP1,RHOA,TNFRSF1B,HMGB2
GO:0009142	nucleoside triphosphate biosynthetic process	6.229068183609015e-9	6.229068183609015e-9	+1	MT-ND1,TMSB4X,ALDOA,NDUFS7,NDUFA11,NDUFS6,NDUFB1,NDUFA13,C14ORF2,NDUFB11,MT-ND3,NDUFB10,SDHB,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0060627	regulation of vesicle-mediated transport	7.235864868070525e-9	7.235864868070525e-9	+1	FCN1,CD14,FCER1G,LGALS3,CFP,CYBA,PYCARD,SPI1,RAC1,AP2S1,ANXA2,FGR,IL1B,S100A10,HCK,SLC11A1,ACTB,STXBP2,LGALS9,VAMP8,GNAI2,CD63,ARRB2,ITGB2,SDCBP,PLSCR1,ATG3,PPT1,TGFB1,SNX3,SNF8,CHMP2A,MSN
GO:0002274	myeloid leukocyte activation	7.265133836592887e-9	7.265133836592887e-9	+1	TYROBP,AIF1,GRN,FCER1G,PYCARD,SPI1,S100A12,CD33,IL8,FGR,CCL3,SLC11A1,STXBP2,IFNGR2,C5AR1,LGALS9,JUND,VAMP8,ITGB2,PLSCR1,IFI35,TGFB1
GO:0033108	mitochondrial respiratory chain complex assembly	7.789773908007938e-9	7.789773908007938e-9	+1	SCO2,MT-ND1,NDUFS7,NDUFA11,NDUFB1,UQCRFS1,NDUFA13,NDUFB11,NDUFB10,COX17,OXA1L,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0032956	regulation of actin cytoskeleton organization	8.158807328382577e-9	8.158807328382577e-9	+1	COTL1,PYCARD,RAC1,BST1,ARPC1B,CAPG,TMSB10,ARPC3,S100A10,HCK,TMSB4X,RHOB,RHOG,ARPC2,BRK1,BST2,RHOA,PFN1,GRB2,MYADM,TGFB1,VASP,GMFG,PHPT1,FLNA,WASF2,WAS
GO:0071345	cellular response to cytokine stimulus	9.947836656578006e-9	9.947836656578006e-9	+1	AIF1,GSTP1,FCER1G,CSF3R,CYBA,PYCARD,SPI1,TNFSF13B,IFITM3,MNDA,GAPDH,LILRA5,IL8,CEBPB,KLF4,VIM,CCL3,IL1B,HCK,NFKBIA,TMSB4X,STXBP2,ISG15,IFNGR2,ASAH1,LGALS9,HLA-DPA1,CARD16,ZFP36,SLC25A5,MT2A,SAMHD1,ZYX,CASP1,RHOA,TNFRSF1B,YBX1,CASP4,NDUFA13,DUSP1,OAS1,WAS
GO:0050778	positive regulation of immune response	1.118515478252299e-8	1.118515478252299e-8	+1	FCN1,CD14,TYROBP,CFD,FCER1G,CTSS,LGALS3,CFP,CYBA,FPR1,PYCARD,SPI1,TNFSF13B,MNDA,HLA-DRA,HLA-DRB1,FGR,IL1B,HCK,SLC11A1,NFKBIA,C5AR1,LGALS9,VAMP8,HLA-DPB1,THEMIS2,ARRB2,NINJ1,ITGB2,CASP1,HLA-DMB,PLSCR1,SPG21,GRB2,HMGB2,IFI35,OAS1,PHPT1,PARK7
GO:0008637	apoptotic mitochondrial changes	1.4973318543917366e-8	1.4973318543917366e-8	+1	GPX1,PYCARD,IFI6,PLAUR,PRELID1,BID,BNIP3L,SOD2,ARRB2,SLC25A5,TNFSF10,SLC25A6,ATG3,FIS1,JTB
GO:0019884	antigen processing and presentation of exogenous antigen	1.687275479916129e-8	1.687275479916129e-8	+1	FCER1G,CTSS,IFI30,HLA-DRA,HLA-DRB1,CTSD,HLA-DRB5,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DMB
GO:0010257	NADH dehydrogenase complex assembly	1.7364271635783323e-8	1.7364271635783323e-8	+1	MT-ND1,NDUFS7,NDUFA11,NDUFB1,NDUFA13,NDUFB11,NDUFB10,OXA1L,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0032981	mitochondrial respiratory chain complex I assembly	1.7364271635783323e-8	1.7364271635783323e-8	+1	MT-ND1,NDUFS7,NDUFA11,NDUFB1,NDUFA13,NDUFB11,NDUFB10,OXA1L,NDUFA2,NDUFB7,NDUFA3,NDUFS8
GO:0071222	cellular response to lipopolysaccharide	2.7766132879562746e-8	2.7766132879562746e-8	+1	CD14,GSTP1,CD68,PYCARD,SPI1,TSPO,IL8,LY86,CEBPB,VIM,CCL3,IL1B,HCK,NFKBIA,CARD16,ZFP36,CASP1,RHOA,TNFRSF1B,HMGB2
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	3.2447758020579284e-8	3.2447758020579284e-8	+1	MT-ND1,NDUFS7,NDUFS6,NDUFB1,MT-ND3,NDUFB10,NDUFA2,NDUFB7,PARK7,NDUFA3,NDUFS8
